Timestamp,306,575,98,38,2,804,95,806,811,84,555,820,372,13,14,79,4,11,570,92,814,10,825,19,43,40,70,8,87,828,812,91,830,17,827,829,350,39,66,826,82,529,86,12,151,815,73,803,582,90,110,3,588,822,32,701,28,25,533,512,309,57,26,521,5,93,60,37,36,807,813,149,9,74,46,105,51,61,802,77,17,301,210,97
2018-08-10T00:00:00-06:00 Denver,175.625,719,1661972.396,7806.875,78.953125,852.3125,35913233.66,1005.96875,2114,5485.25,59445279.31,1367.34375,442,2829,989,3977.625,6356.742188,0.670043945,537.625,1861.125,607,1517,535.125,5562.851563,345.28125,9826.671875,631.0625,580.75,2393.3125,681.40625,1596.375,986.375,779.53125,502.5625,640.1875,614.25,1856.3125,49.8125,2367.75,698.125,14888,5222,6072,1166,1432,6287,1896.77002,1266,3072.3125,2625.910156,7025,901.28125,2046.5,2923.21875,7319,1725.78125,1941.5625,3430.15625,0,864.3125,48.5703125,,523.4453125,8341,45328624,5257.4375,341.5625,239,662.125,1327.5,1709.90625,8816,1102.3125,1413.3125,979.0097656,1333.4375,408,3161.328125,1839.1875,1637.5,502.5625,550.9375,45.9921875,879.4375
2018-08-11T00:00:00-06:00 Denver,118.5,511,1662762.979,7693,8.1484375,805.875,36292781,994.234375,1929,5256.6875,59902094.44,1342.578125,402.5,2478,931,3876.25,6754.710938,0,479.375,1389.375,1051,1348,411.78125,4762.65625,246.9375,8969.09375,569.6875,518,2151.0625,635.65625,1600.125,774.9375,764.0625,474.1875,578.34375,533.15625,1200.0625,39.15625,2106.59375,545.203125,14296,5002,4612,1072.25,1418,5800,1769.05957,1262,2584.125,2293.902344,6143,870.28125,1924.5,2687.28125,8312,1732.25,1999.625,3429.875,0,702.0625,22.28125,,453.046875,7498,45199280,4831.875,265.65625,199.1875,593.0625,1234.3125,1760.78125,0,1432.875,1314.6875,1002.179688,1061.9375,286,2999.9375,1810.25,1685.0625,474.1875,545.875,46.015625,790.75
2018-08-12T00:00:00-06:00 Denver,114.1875,520,1663484.791,7695.25,15.7421875,731.1875,36666964.97,989.8046875,1824,5188.4375,60276560.69,1382.296875,388,1927,913,3535.875,6316.625,0,471.25,1263.4375,1212,1312,387.765625,4935.304688,249.90625,8919.703125,535.5,515.75,2134.8125,607.75,1594.8125,729.4375,798.625,458.8125,550.59375,514.75,1204.1875,50.78125,1991.3125,484.984375,14416,4992,3952,1072.75,1415,5736,1721.680664,1263,2532.125,2289.019531,6024,754.3125,1872.5,2642.09375,6417,1739.6875,1878.40625,3406.46875,0,689.125,22.2890625,,420.9921875,7471,43897314,4666.8125,288.40625,212.25,611.6875,1182.125,1727.6875,0,1390.6875,1323.3125,981.5097656,1055.4375,282,2882.640625,1788.3125,1770.75,458.8125,536.125,47.4453125,808.4375
2018-08-13T00:00:00-06:00 Denver,170.3125,758.5,1664321.023,8016.5,81.9375,745.5,37047947.47,976.890625,1864,5445.125,60705342.56,1487.484375,463.5,2733,919,4005.625,6756.210938,4.520019531,529,2070.125,989,1400,385.203125,5758.273438,364.03125,9935.78125,665.75,622.75,2409.0625,580.5,1583.1875,1326.625,733.375,499.1875,526.71875,492.75,1904.1875,62.1875,2611.125,487.4375,15344,5246,9688,1155.5,1434,6146,1894.080078,1244,2683.1875,3058.257813,7222,909.53125,2048,2861.9375,7155,1695.15625,2008.46875,3471.3125,0,874.4375,51.984375,,457.40625,8369,45115273,5712.3125,351.625,216.1875,688.75,1164.25,1709.59375,0,728.875,1518.25,1005.769531,1464.1875,428,3160.078125,1762.8125,1625.9375,499.1875,568.125,45.6328125,837.5
2018-08-14T00:00:00-06:00 Denver,165.5625,743,1665335.066,8035.25,81.078125,770.5625,37439320.88,931.7265625,1935,5413.875,61259565.88,1485.9375,464,2650,927,3946.125,6729.765625,0.829956055,557,1773,1192,1398,635.2578125,5632.804688,381.84375,9921.96875,710.75,603.5,2474.625,560.375,1578.8125,952.3125,741.96875,477.9375,582.8125,510.25,1896.125,97.34375,2552.5,601.953125,15196,5246,11396,1209.25,1422,6402,1874.759766,1282,2669.75,3895.191406,6987,873.4375,2085,2907.9375,7286,1645.46875,1985.625,3498.40625,0,867.9375,74,,454.359375,8377,46148772,5296.6875,298.28125,,731.75,1163.5625,1777.09375,0,1073.875,1444.0625,1027.980469,1464.4375,421,3361.359375,1747.875,1714.3125,477.9375,614.4375,46.2109375,822
2018-08-15T00:00:00-06:00 Denver,162.90625,768.5,1666296.35,7866.625,66,763.25,37829243.31,944.4453125,1870,5389.3125,61829225.88,1422.398438,464.5,2542,954,3828.5,6807.703125,0.150024414,553.25,1738.6875,1206,1356,565.53125,5510.4375,471.40625,9846.46875,692.0625,638.75,2470.15625,528.25,1532.8125,1044.9375,736.71875,361.5,600.0625,486.4375,1807.125,110.4375,2377.59375,541.546875,14948,5213,11112,1202,1430,6729,1876.489258,1259,2650.875,3837.839844,6464,938.3125,2174,2859.75,7990,1549.65625,2002.625,3436.65625,0,881.125,65.859375,,355.53125,8350,46996872,5384.1875,242.75,,738.5625,1145.4375,1758.40625,0,1317.4375,1463.0625,1079.400391,1412.3125,439,3471.3125,1699.1875,1622.375,361.5,531.875,45.8203125,715.4375
2018-08-16T00:00:00-06:00 Denver,178.71875,770,1667252.693,7867.375,71.453125,1186.25,38217939,1426.296875,2383,5414.4375,61748332.06,1888.84375,445.5,2584,946,3805.875,7024.453125,0.140014648,527.5,1792.5,1762,1333,618.6015625,5566.898438,492.40625,9998.6875,725.25,604.75,2436.5,627.9375,1932.5,1047.3125,766.03125,364.8125,729.09375,634.25,1787.0625,220.5,2438.03125,657.765625,15248,5247,10582,1169.25,1433,7319,1924.839844,1725,2686.1875,4802.761719,7388,911.96875,2217,3207.5,8085,1649.96875,2027.875,3480.125,0,867.375,67.8984375,,376.1171875,8413,47057515,5617.875,295.09375,,680.25,1538.875,2524.5,0,776.3125,1419.1875,1326.380859,1482.4375,428,3223.671875,2017.375,1497.6875,364.8125,536.5625,46.984375,777.1875
2018-08-17T00:00:00-06:00 Denver,177.28125,724.5,1668248.984,7795.875,73.2890625,1310.8125,38579354.63,1473.695313,2572,5361.25,62959988.5,1943.53125,463,2670,957,3817,7124.40625,0.349975586,535.5,1973.1875,2008,1364,647.6953125,5446.929688,612.75,10003.1875,668.6875,642.5,2418.53125,599.40625,2036.8125,1168.5,805.90625,419.3125,780.78125,635.46875,1761.6875,127.4375,2615.625,715.328125,15252,5167,9812,1164.75,1416,7088,1932.791016,1981,2691.5625,4910.097656,6880,914.03125,2155.5,3220,7636,1653.53125,1996.875,3486.0625,0,871,51.9296875,,441.546875,8204,46715486,4675.5625,300.8125,,670.6875,1589.9375,2669.0625,0,951.875,1460.5625,1381.609375,1409.75,415,3010.109375,2009.3125,1665.0625,419.3125,554.75,45.6953125,748.125
2018-08-18T00:00:00-06:00 Denver,118.03125,523.5,1669070.924,7605.375,8.15625,1189.1875,38954271.56,1440.140625,2360,5052.9375,62752693.06,1787.664063,431,2276,902,3822.75,6894.78125,0,484.5,1461.5625,1608,1156,565.6953125,4545.976563,609.75,8869,576.3125,570,2144.65625,516,1921.125,830.9375,708.03125,330.25,725.9375,575.40625,1034.1875,134.875,2087.46875,641.796875,14188,4968,8170,1046.75,1395,7085,1752.5,1852,2574.5,6600.410156,6071,715.28125,1942,2878.90625,6843,1626.9375,1786.25,3300.21875,0,726.125,22.890625,,244.4765625,7222,47774589,4635.75,179.78125,,590.75,1477.25,2432.4375,0,1180.6875,1360,1470.269531,1038.6875,293,2619.1875,1761.5,1600.625,330.25,474.0625,45.7578125,616.6875
2018-08-19T00:00:00-06:00 Denver,113.125,509.5,1669792.695,7579.25,8.25,1185.0625,39326438.88,1459.96875,2273,4978.4375,63765983,1753.210938,432.5,1759,934,3361.375,6219.078125,0,501.75,1430.25,1260,1151,613.1640625,4636.351563,360.90625,8732.03125,569.5625,560.75,2111.9375,581.21875,1841.875,722.5625,710.5625,312,726.90625,583.53125,1152.25,96.71875,2184.0625,622.40625,13328,5020,7928,1039,1394,6932,1752.779297,1824,2548.875,2854.257813,6007,637.6875,1897,2807.21875,6173,1689.125,1945,3243.375,0,724.8125,22.796875,,289.3984375,7151,47226773,4699.0625,170.28125,,603.5,1466.1875,2400.75,0,1262.625,1378.75,1575.371094,979.0625,284,2516.546875,1707.0625,1730.25,312,458.8125,47.2109375,635.5
