ts,v0
2018-07-31T23:45:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T00:00:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T00:15:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T00:30:00-06:00 Denver,7.8125e-09 kBTU
2018-08-01T00:45:00-06:00 Denver,1.171875e-08 kBTU
2018-08-01T01:00:00-06:00 Denver,7.8125e-09 kBTU
2018-08-01T01:15:00-06:00 Denver,1.171875e-08 kBTU
2018-08-01T01:30:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T01:45:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T02:00:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T02:15:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T02:30:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T02:45:00-06:00 Denver,7.8125e-09 kBTU
2018-08-01T03:00:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T03:15:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T03:30:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T03:45:00-06:00 Denver,7.8125e-09 kBTU
2018-08-01T04:00:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T04:15:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T04:30:00-06:00 Denver,1.171875e-08 kBTU
2018-08-01T04:45:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T05:00:00-06:00 Denver,1.3671875e-08 kBTU
2018-08-01T05:15:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T05:30:00-06:00 Denver,1.3671875e-08 kBTU
2018-08-01T05:45:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T06:00:00-06:00 Denver,9.765625e-09 kBTU
2018-08-01T06:15:00-06:00 Denver,1.171875e-08 kBTU
2018-08-01T06:30:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T06:45:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T07:00:00-06:00 Denver,1.3671875e-08 kBTU
2018-08-01T07:15:00-06:00 Denver,5.859375e-09 kBTU
2018-08-01T07:30:00-06:00 Denver,7.8125e-09 kBTU
2018-08-01T07:45:00-06:00 Denver,1.3671875e-08 kBTU
