ts,v0
2018-07-31T23:45:00-06:00 Denver,40519.181891875 kBTU
2018-08-01T00:00:00-06:00 Denver,81251.6226358125 kBTU
2018-08-01T00:15:00-06:00 Denver,40519.181891875 kBTU
2018-08-01T00:30:00-06:00 Denver,81891.399192 kBTU
2018-08-01T00:45:00-06:00 Denver,41158.9584480625 kBTU
2018-08-01T01:00:00-06:00 Denver,81678.1403399375 kBTU
2018-08-01T01:15:00-06:00 Denver,41158.9584480625 kBTU
2018-08-01T01:30:00-06:00 Denver,80718.47550565626 kBTU
2018-08-01T01:45:00-06:00 Denver,41052.32902203125 kBTU
2018-08-01T02:00:00-06:00 Denver,81464.881487875 kBTU
2018-08-01T02:15:00-06:00 Denver,40092.66418775 kBTU
2018-08-01T02:30:00-06:00 Denver,79758.810671375 kBTU
2018-08-01T02:45:00-06:00 Denver,40412.55246584375 kBTU
2018-08-01T03:00:00-06:00 Denver,79865.44009740624 kBTU
2018-08-01T03:15:00-06:00 Denver,40305.9230398125 kBTU
2018-08-01T03:30:00-06:00 Denver,79332.29296725 kBTU
2018-08-01T03:45:00-06:00 Denver,40625.81131790625 kBTU
2018-08-01T04:00:00-06:00 Denver,82317.916896125 kBTU
2018-08-01T04:15:00-06:00 Denver,39879.4053356875 kBTU
2018-08-01T04:30:00-06:00 Denver,80078.69894946874 kBTU
2018-08-01T04:45:00-06:00 Denver,39772.77590965625 kBTU
2018-08-01T05:00:00-06:00 Denver,79119.0341151875 kBTU
2018-08-01T05:15:00-06:00 Denver,39879.4053356875 kBTU
2018-08-01T05:30:00-06:00 Denver,78372.62813296876 kBTU
2018-08-01T05:45:00-06:00 Denver,39452.8876315625 kBTU
2018-08-01T06:00:00-06:00 Denver,79438.92239328125 kBTU
2018-08-01T06:15:00-06:00 Denver,39452.8876315625 kBTU
2018-08-01T06:30:00-06:00 Denver,78692.5164110625 kBTU
2018-08-01T06:45:00-06:00 Denver,39559.51705759375 kBTU
2018-08-01T07:00:00-06:00 Denver,79545.5518193125 kBTU
2018-08-01T07:15:00-06:00 Denver,39986.03476171875 kBTU
2018-08-01T07:30:00-06:00 Denver,82957.6934523125 kBTU
2018-08-01T07:45:00-06:00 Denver,43824.69409884375 kBTU
2018-08-01T08:00:00-06:00 Denver,95859.85400209375 kBTU
2018-08-01T08:15:00-06:00 Denver,49262.7948264375 kBTU
2018-08-01T08:30:00-06:00 Denver,100338.28989540625 kBTU
2018-08-01T08:45:00-06:00 Denver,49476.0536785 kBTU
2018-08-01T09:00:00-06:00 Denver,108335.49684775001 kBTU
2018-08-01T09:15:00-06:00 Denver,50755.606790875 kBTU
2018-08-01T09:30:00-06:00 Denver,105136.6140668125 kBTU
