ts,v0
2018-07-31T23:45:00-06:00 Denver,32521.974939531246 kBTU
2018-08-01T00:00:00-06:00 Denver,33028.46471317969 kBTU
2018-08-01T00:15:00-06:00 Denver,32521.974939531246 kBTU
2018-08-01T00:30:00-06:00 Denver,33428.32506079687 kBTU
2018-08-01T00:45:00-06:00 Denver,32761.89114810156 kBTU
2018-08-01T01:00:00-06:00 Denver,33295.038278257816 kBTU
2018-08-01T01:15:00-06:00 Denver,33614.926556351566 kBTU
2018-08-01T01:30:00-06:00 Denver,33908.1574779375 kBTU
2018-08-01T01:45:00-06:00 Denver,33028.46471317969 kBTU
2018-08-01T02:00:00-06:00 Denver,32788.548504609375 kBTU
2018-08-01T02:15:00-06:00 Denver,33508.297130320316 kBTU
2018-08-01T02:30:00-06:00 Denver,33321.69563476562 kBTU
2018-08-01T02:45:00-06:00 Denver,33428.32506079687 kBTU
2018-08-01T03:00:00-06:00 Denver,33428.32506079687 kBTU
2018-08-01T03:15:00-06:00 Denver,33081.77942619531 kBTU
2018-08-01T03:30:00-06:00 Denver,33081.77942619531 kBTU
2018-08-01T03:45:00-06:00 Denver,33348.35299127344 kBTU
2018-08-01T04:00:00-06:00 Denver,34228.04575603125 kBTU
2018-08-01T04:15:00-06:00 Denver,33561.61184333594 kBTU
2018-08-01T04:30:00-06:00 Denver,34787.85024269531 kBTU
2018-08-01T04:45:00-06:00 Denver,33694.898625875 kBTU
2018-08-01T05:00:00-06:00 Denver,33588.26919984375 kBTU
2018-08-01T05:15:00-06:00 Denver,33614.926556351566 kBTU
2018-08-01T05:30:00-06:00 Denver,33828.185408414065 kBTU
2018-08-01T05:45:00-06:00 Denver,34174.73104301563 kBTU
2018-08-01T06:00:00-06:00 Denver,34254.703112539064 kBTU
2018-08-01T06:15:00-06:00 Denver,33988.129547460936 kBTU
2018-08-01T06:30:00-06:00 Denver,33801.52805190625 kBTU
2018-08-01T06:45:00-06:00 Denver,33854.84276492188 kBTU
2018-08-01T07:00:00-06:00 Denver,34547.934034125 kBTU
2018-08-01T07:15:00-06:00 Denver,33988.129547460936 kBTU
2018-08-01T07:30:00-06:00 Denver,34574.59139063281 kBTU
2018-08-01T07:45:00-06:00 Denver,33668.24126936719 kBTU
2018-08-01T08:00:00-06:00 Denver,36867.12405030469 kBTU
2018-08-01T08:15:00-06:00 Denver,37586.87267601562 kBTU
2018-08-01T08:30:00-06:00 Denver,39906.062692195315 kBTU
2018-08-01T08:45:00-06:00 Denver,40705.78338742969 kBTU
2018-08-01T09:00:00-06:00 Denver,44277.86915947657 kBTU
2018-08-01T09:15:00-06:00 Denver,46303.82825407031 kBTU
2018-08-01T09:30:00-06:00 Denver,43398.17639471875 kBTU
2018-08-01T09:45:00-06:00 Denver,44597.75743757032 kBTU
2018-08-01T10:00:00-06:00 Denver,45397.47813280469 kBTU
2018-08-01T10:15:00-06:00 Denver,43424.833751226564 kBTU
2018-08-01T10:30:00-06:00 Denver,45317.50606328125 kBTU
2018-08-01T10:45:00-06:00 Denver,44837.673646140625 kBTU
2018-08-01T11:00:00-06:00 Denver,44491.12801153906 kBTU
2018-08-01T11:15:00-06:00 Denver,46037.25468899219 kBTU
2018-08-01T11:30:00-06:00 Denver,45823.99583692969 kBTU
2018-08-01T11:45:00-06:00 Denver,45104.247211218746 kBTU
2018-08-01T12:00:00-06:00 Denver,43878.00881185937 kBTU
2018-08-01T12:15:00-06:00 Denver,44197.89708995313 kBTU
2018-08-01T12:30:00-06:00 Denver,44011.29559439844 kBTU
2018-08-01T12:45:00-06:00 Denver,44037.95295090625 kBTU
2018-08-01T13:00:00-06:00 Denver,43104.945473132815 kBTU
2018-08-01T13:15:00-06:00 Denver,44117.92502042969 kBTU
2018-08-01T13:30:00-06:00 Denver,45184.21928074219 kBTU
2018-08-01T13:45:00-06:00 Denver,45210.87663725 kBTU
2018-08-01T14:00:00-06:00 Denver,44357.841229000005 kBTU
2018-08-01T14:15:00-06:00 Denver,45290.84870677344 kBTU
2018-08-01T14:30:00-06:00 Denver,45530.76491534375 kBTU
2018-08-01T14:45:00-06:00 Denver,44864.33100264844 kBTU
2018-08-01T15:00:00-06:00 Denver,44597.75743757032 kBTU
2018-08-01T15:15:00-06:00 Denver,44624.414794078126 kBTU
2018-08-01T15:30:00-06:00 Denver,43824.69409884375 kBTU
2018-08-01T15:45:00-06:00 Denver,43131.60282964063 kBTU
2018-08-01T16:00:00-06:00 Denver,42625.11305599219 kBTU
2018-08-01T16:15:00-06:00 Denver,41878.70707377344 kBTU
2018-08-01T16:30:00-06:00 Denver,42091.96592583594 kBTU
2018-08-01T16:45:00-06:00 Denver,42465.16891694532 kBTU
2018-08-01T17:00:00-06:00 Denver,41985.33649980469 kBTU
2018-08-01T17:15:00-06:00 Denver,41505.50408266406 kBTU
2018-08-01T17:30:00-06:00 Denver,40705.78338742969 kBTU
2018-08-01T17:45:00-06:00 Denver,40439.209822351564 kBTU
2018-08-01T18:00:00-06:00 Denver,38973.055214421875 kBTU
2018-08-01T18:15:00-06:00 Denver,38146.67716267968 kBTU
2018-08-01T18:30:00-06:00 Denver,37880.10359760156 kBTU
