ts,v0
2018-07-31T23,40519.181891875 kBTU
2018-08-01T00,81251.6226358125 kBTU
2018-08-01T00,40519.181891875 kBTU
2018-08-01T00,81891.399192 kBTU
2018-08-01T00,41158.9584480625 kBTU
2018-08-01T01,81678.1403399375 kBTU
2018-08-01T01,41158.9584480625 kBTU
2018-08-01T01,80718.47550565626 kBTU
2018-08-01T01,41052.32902203125 kBTU
2018-08-01T02,81464.881487875 kBTU
2018-08-01T02,40092.66418775 kBTU
2018-08-01T02,79758.810671375 kBTU
2018-08-01T02,40412.55246584375 kBTU
2018-08-01T03,79865.44009740624 kBTU
2018-08-01T03,40305.9230398125 kBTU
2018-08-01T03,79332.29296725 kBTU
2018-08-01T03,40625.81131790625 kBTU
2018-08-01T04,82317.916896125 kBTU
2018-08-01T04,39879.4053356875 kBTU
2018-08-01T04,80078.69894946874 kBTU
2018-08-01T04,39772.77590965625 kBTU
2018-08-01T05,79119.0341151875 kBTU
2018-08-01T05,39879.4053356875 kBTU
2018-08-01T05,78372.62813296876 kBTU
2018-08-01T05,39452.8876315625 kBTU
2018-08-01T06,79438.92239328125 kBTU
2018-08-01T06,39452.8876315625 kBTU
2018-08-01T06,78692.5164110625 kBTU
2018-08-01T06,39559.51705759375 kBTU
2018-08-01T07,79545.5518193125 kBTU
2018-08-01T07,39986.03476171875 kBTU
2018-08-01T07,82957.6934523125 kBTU
2018-08-01T07,43824.69409884375 kBTU
2018-08-01T08,95859.85400209375 kBTU
2018-08-01T08,49262.7948264375 kBTU
2018-08-01T08,100338.28989540625 kBTU
2018-08-01T08,49476.0536785 kBTU
2018-08-01T09,108335.49684775001 kBTU
2018-08-01T09,50755.606790875 kBTU
2018-08-01T09,105136.6140668125 kBTU
2018-08-01T09,54594.266128 kBTU
2018-08-01T10,105669.76119696876 kBTU
2018-08-01T10,52035.159903249994 kBTU
2018-08-01T10,107589.09086553125 kBTU
2018-08-01T10,59392.59029940625 kBTU
2018-08-01T11,110574.71479440625 kBTU
2018-08-01T11,51608.642199125 kBTU
2018-08-01T11,99698.51333921876 kBTU
2018-08-01T11,47769.982862 kBTU
2018-08-01T12,92127.824091 kBTU
2018-08-01T12,46170.54147153125 kBTU
2018-08-01T12,92021.19466496875 kBTU
2018-08-01T12,44357.841229000005 kBTU
2018-08-01T13,88822.31188403125 kBTU
2018-08-01T13,44251.211802968755 kBTU
2018-08-01T13,89035.57073609375 kBTU
2018-08-01T13,45424.135489312495 kBTU
2018-08-01T14,88609.05303196875 kBTU
2018-08-01T14,44037.95295090625 kBTU
2018-08-01T14,87542.75877165626 kBTU
2018-08-01T14,43291.5469686875 kBTU
2018-08-01T15,86902.98221546876 kBTU
2018-08-01T15,44144.5823769375 kBTU
2018-08-01T15,87542.75877165626 kBTU
2018-08-01T15,44037.95295090625 kBTU
2018-08-01T16,86049.94680721874 kBTU
2018-08-01T16,41692.105578218754 kBTU
2018-08-01T16,89462.08844021875 kBTU
2018-08-01T16,45424.135489312495 kBTU
2018-08-01T17,86156.57623325 kBTU
2018-08-01T17,42438.511560437495 kBTU
2018-08-01T17,81998.02861803125 kBTU
2018-08-01T17,41052.32902203125 kBTU
2018-08-01T18,81998.02861803125 kBTU
2018-08-01T18,41265.587874093755 kBTU
2018-08-01T18,83064.32287834375 kBTU
2018-08-01T18,39986.03476171875 kBTU
2018-08-01T19,80398.5872275625 kBTU
