ts,v0
2018-07-31T23,32521.974939531246 kBTU
2018-08-01T00,33028.46471317969 kBTU
2018-08-01T00,32521.974939531246 kBTU
2018-08-01T00,33428.32506079687 kBTU
2018-08-01T00,32761.89114810156 kBTU
2018-08-01T01,33295.038278257816 kBTU
2018-08-01T01,33614.926556351566 kBTU
2018-08-01T01,33908.1574779375 kBTU
2018-08-01T01,33028.46471317969 kBTU
2018-08-01T02,32788.548504609375 kBTU
2018-08-01T02,33508.297130320316 kBTU
2018-08-01T02,33321.69563476562 kBTU
2018-08-01T02,33428.32506079687 kBTU
2018-08-01T03,33428.32506079687 kBTU
2018-08-01T03,33081.77942619531 kBTU
2018-08-01T03,33081.77942619531 kBTU
2018-08-01T03,33348.35299127344 kBTU
2018-08-01T04,34228.04575603125 kBTU
2018-08-01T04,33561.61184333594 kBTU
2018-08-01T04,34787.85024269531 kBTU
2018-08-01T04,33694.898625875 kBTU
2018-08-01T05,33588.26919984375 kBTU
2018-08-01T05,33614.926556351566 kBTU
2018-08-01T05,33828.185408414065 kBTU
2018-08-01T05,34174.73104301563 kBTU
2018-08-01T06,34254.703112539064 kBTU
2018-08-01T06,33988.129547460936 kBTU
2018-08-01T06,33801.52805190625 kBTU
2018-08-01T06,33854.84276492188 kBTU
2018-08-01T07,34547.934034125 kBTU
2018-08-01T07,33988.129547460936 kBTU
2018-08-01T07,34574.59139063281 kBTU
2018-08-01T07,33668.24126936719 kBTU
2018-08-01T08,36867.12405030469 kBTU
2018-08-01T08,37586.87267601562 kBTU
2018-08-01T08,39906.062692195315 kBTU
2018-08-01T08,40705.78338742969 kBTU
2018-08-01T09,44277.86915947657 kBTU
2018-08-01T09,46303.82825407031 kBTU
2018-08-01T09,43398.17639471875 kBTU
2018-08-01T09,44597.75743757032 kBTU
2018-08-01T10,45397.47813280469 kBTU
2018-08-01T10,43424.833751226564 kBTU
2018-08-01T10,45317.50606328125 kBTU
2018-08-01T10,44837.673646140625 kBTU
2018-08-01T11,44491.12801153906 kBTU
2018-08-01T11,46037.25468899219 kBTU
2018-08-01T11,45823.99583692969 kBTU
2018-08-01T11,45104.247211218746 kBTU
2018-08-01T12,43878.00881185937 kBTU
2018-08-01T12,44197.89708995313 kBTU
2018-08-01T12,44011.29559439844 kBTU
2018-08-01T12,44037.95295090625 kBTU
2018-08-01T13,43104.945473132815 kBTU
2018-08-01T13,44117.92502042969 kBTU
2018-08-01T13,45184.21928074219 kBTU
2018-08-01T13,45210.87663725 kBTU
2018-08-01T14,44357.841229000005 kBTU
2018-08-01T14,45290.84870677344 kBTU
2018-08-01T14,45530.76491534375 kBTU
2018-08-01T14,44864.33100264844 kBTU
2018-08-01T15,44597.75743757032 kBTU
2018-08-01T15,44624.414794078126 kBTU
2018-08-01T15,43824.69409884375 kBTU
2018-08-01T15,43131.60282964063 kBTU
2018-08-01T16,42625.11305599219 kBTU
2018-08-01T16,41878.70707377344 kBTU
2018-08-01T16,42091.96592583594 kBTU
2018-08-01T16,42465.16891694532 kBTU
2018-08-01T17,41985.33649980469 kBTU
2018-08-01T17,41505.50408266406 kBTU
2018-08-01T17,40705.78338742969 kBTU
2018-08-01T17,40439.209822351564 kBTU
2018-08-01T18,38973.055214421875 kBTU
2018-08-01T18,38146.67716267968 kBTU
2018-08-01T18,37880.10359760156 kBTU
2018-08-01T18,37160.35497189063 kBTU
2018-08-01T19,37160.35497189063 kBTU
2018-08-01T19,36867.12405030469 kBTU
2018-08-01T19,36973.753476335936 kBTU
2018-08-01T19,36973.753476335936 kBTU
2018-08-01T20,36680.52255475 kBTU
2018-08-01T20,36760.494624273444 kBTU
2018-08-01T20,37293.641754429686 kBTU
2018-08-01T20,37320.2991109375 kBTU
2018-08-01T21,36760.494624273444 kBTU
2018-08-01T21,36467.2637026875 kBTU
2018-08-01T21,34894.47966872656 kBTU
2018-08-01T21,34814.50759920313 kBTU
2018-08-01T22,35720.85772046875 kBTU
2018-08-01T22,34681.22081666406 kBTU
2018-08-01T22,34921.13702523437 kBTU
2018-08-01T22,35774.172433484375 kBTU
2018-08-01T23,36067.40335507031 kBTU
2018-08-01T23,35161.05323380468 kBTU
2018-08-01T23,35214.36794682031 kBTU
2018-08-01T23,34947.79438174219 kBTU
2018-08-02T00,35347.654729359376 kBTU
2018-08-02T00,35774.172433484375 kBTU
2018-08-02T00,35400.969442375 kBTU
2018-08-02T00,34627.906103648435 kBTU
2018-08-02T01,34707.87817317188 kBTU
2018-08-02T01,35001.10909475781 kBTU
2018-08-02T01,35534.25622491406 kBTU
