ts,v0
2018-07-31T23,11942.4957155 kBTU
2018-08-01T00,17913.743573249998 kBTU
2018-08-01T00,13008.789975812499 kBTU
2018-08-01T00,16634.190460875 kBTU
2018-08-01T00,14501.601940249999 kBTU
2018-08-01T01,16847.4493129375 kBTU
2018-08-01T01,12155.7545675625 kBTU
2018-08-01T01,16634.190460875 kBTU
2018-08-01T01,13008.789975812499 kBTU
2018-08-01T02,18340.261277375 kBTU
2018-08-01T02,11942.4957155 kBTU
2018-08-01T02,16207.67275675 kBTU
2018-08-01T02,11089.460307250001 kBTU
2018-08-01T03,17487.225869125003 kBTU
2018-08-01T03,9383.38949075 kBTU
2018-08-01T03,19193.296685625 kBTU
2018-08-01T03,7464.0598221875 kBTU
2018-08-01T04,20046.332093875 kBTU
2018-08-01T04,5757.9890056875 kBTU
2018-08-01T04,21539.1440583125 kBTU
2018-08-01T04,5331.4713015625 kBTU
2018-08-01T05,20686.108650062502 kBTU
2018-08-01T05,7250.800970124999 kBTU
2018-08-01T05,23031.95602275 kBTU
2018-08-01T05,11942.4957155 kBTU
2018-08-01T06,22605.438318625 kBTU
2018-08-01T06,11089.460307250001 kBTU
2018-08-01T06,22818.6971706875 kBTU
2018-08-01T06,11515.978011375 kBTU
2018-08-01T07,18766.7789815 kBTU
2018-08-01T07,12795.531123750001 kBTU
2018-08-01T07,18340.261277375 kBTU
2018-08-01T07,14501.601940249999 kBTU
2018-08-01T08,19619.81438975 kBTU
2018-08-01T08,15567.896200562502 kBTU
2018-08-01T08,24738.02683925 kBTU
2018-08-01T08,11729.2368634375 kBTU
2018-08-01T09,26230.8388036875 kBTU
2018-08-01T09,12155.7545675625 kBTU
2018-08-01T09,26230.8388036875 kBTU
2018-08-01T09,14501.601940249999 kBTU
2018-08-01T10,26230.8388036875 kBTU
2018-08-01T10,14501.601940249999 kBTU
2018-08-01T10,28576.686176375002 kBTU
2018-08-01T10,13861.8253840625 kBTU
2018-08-01T11,29003.203880499997 kBTU
2018-08-01T11,17913.743573249998 kBTU
2018-08-01T11,28150.168472250003 kBTU
2018-08-01T11,15781.155052625 kBTU
2018-08-01T12,35187.7105903125 kBTU
2018-08-01T12,18766.7789815 kBTU
2018-08-01T12,31562.31010525 kBTU
2018-08-01T12,20472.849798 kBTU
2018-08-01T13,33268.38092175 kBTU
2018-08-01T13,19406.555537687498 kBTU
2018-08-01T13,34547.934034125 kBTU
2018-08-01T13,19193.296685625 kBTU
2018-08-01T14,33268.38092175 kBTU
2018-08-01T14,20259.5909459375 kBTU
2018-08-01T14,33481.6397738125 kBTU
2018-08-01T14,20686.108650062502 kBTU
2018-08-01T15,38813.111075374996 kBTU
2018-08-01T15,20686.108650062502 kBTU
2018-08-01T15,39666.146483625 kBTU
2018-08-01T15,21112.6263541875 kBTU
2018-08-01T16,33055.1220696875 kBTU
2018-08-01T16,19619.81438975 kBTU
2018-08-01T16,30496.015844937498 kBTU
2018-08-01T16,19193.296685625 kBTU
2018-08-01T17,30922.5335490625 kBTU
2018-08-01T17,18980.037833562503 kBTU
2018-08-01T17,32628.604365562504 kBTU
2018-08-01T17,14288.343088187501 kBTU
2018-08-01T18,32202.086661437497 kBTU
2018-08-01T18,13222.048827875 kBTU
2018-08-01T18,31775.568957312502 kBTU
2018-08-01T18,15781.155052625 kBTU
2018-08-01T19,33694.898625875 kBTU
2018-08-01T19,15781.155052625 kBTU
2018-08-01T19,26657.356507812503 kBTU
2018-08-01T19,13222.048827875 kBTU
2018-08-01T20,25804.3210995625 kBTU
2018-08-01T20,14501.601940249999 kBTU
2018-08-01T20,25164.544543375003 kBTU
2018-08-01T20,11942.4957155 kBTU
2018-08-01T21,23884.991431 kBTU
2018-08-01T21,13648.566532 kBTU
2018-08-01T21,23671.732578937503 kBTU
2018-08-01T21,11729.2368634375 kBTU
2018-08-01T22,23884.991431 kBTU
2018-08-01T22,8743.612934562501 kBTU
2018-08-01T22,23031.95602275 kBTU
2018-08-01T22,11302.7191593125 kBTU
2018-08-01T23,22818.6971706875 kBTU
2018-08-01T23,9170.1306386875 kBTU
2018-08-01T23,24738.02683925 kBTU
2018-08-01T23,8743.612934562501 kBTU
2018-08-02T00,21539.1440583125 kBTU
2018-08-02T00,9383.38949075 kBTU
2018-08-02T00,21752.402910375 kBTU
2018-08-02T00,8103.836378375 kBTU
2018-08-02T01,21752.402910375 kBTU
2018-08-02T01,10449.6837510625 kBTU
2018-08-02T01,20259.5909459375 kBTU
2018-08-02T01,10449.6837510625 kBTU
2018-08-02T02,19833.0732418125 kBTU
2018-08-02T02,10449.6837510625 kBTU
2018-08-02T02,18127.0024253125 kBTU
2018-08-02T02,12155.7545675625 kBTU
2018-08-02T03,16847.4493129375 kBTU
2018-08-02T03,13435.3076799375 kBTU
2018-08-02T03,18340.261277375 kBTU
2018-08-02T03,10023.1660469375 kBTU
2018-08-02T04,17487.225869125003 kBTU
2018-08-02T04,8530.3540825 kBTU
2018-08-02T04,19193.296685625 kBTU
2018-08-02T04,5757.9890056875 kBTU
2018-08-02T05,21752.402910375 kBTU
2018-08-02T05,8103.836378375 kBTU
2018-08-02T05,19833.0732418125 kBTU
2018-08-02T05,11302.7191593125 kBTU
2018-08-02T06,23884.991431 kBTU
2018-08-02T06,11942.4957155 kBTU
2018-08-02T06,24951.2856913125 kBTU
2018-08-02T06,10236.424899 kBTU
2018-08-02T07,22392.1794665625 kBTU
2018-08-02T07,11515.978011375 kBTU
