ts,v0
2018-07-31T23,40945.699596 kBTU
2018-08-01T00,75067.115926 kBTU
2018-08-01T00,37533.557963 kBTU
2018-08-01T00,78479.257559 kBTU
2018-08-01T00,37533.557963 kBTU
2018-08-01T01,75067.115926 kBTU
2018-08-01T01,40945.699596 kBTU
2018-08-01T01,75067.115926 kBTU
2018-08-01T01,37533.557963 kBTU
2018-08-01T02,64830.691027 kBTU
2018-08-01T02,27297.133064 kBTU
2018-08-01T02,61418.549394 kBTU
2018-08-01T02,30709.274697 kBTU
2018-08-01T03,54594.266128 kBTU
2018-08-01T03,30709.274697 kBTU
2018-08-01T03,58006.407760999995 kBTU
2018-08-01T03,30709.274697 kBTU
2018-08-01T04,54594.266128 kBTU
2018-08-01T04,30709.274697 kBTU
2018-08-01T04,58006.407760999995 kBTU
2018-08-01T04,27297.133064 kBTU
2018-08-01T05,58006.407760999995 kBTU
2018-08-01T05,30709.274697 kBTU
2018-08-01T05,58006.407760999995 kBTU
2018-08-01T05,30709.274697 kBTU
2018-08-01T06,61418.549394 kBTU
2018-08-01T06,34121.41633 kBTU
2018-08-01T06,71654.97429299999 kBTU
2018-08-01T06,34121.41633 kBTU
2018-08-01T07,68242.83266 kBTU
2018-08-01T07,34121.41633 kBTU
2018-08-01T07,71654.97429299999 kBTU
2018-08-01T07,34121.41633 kBTU
2018-08-01T08,78479.257559 kBTU
2018-08-01T08,37533.557963 kBTU
2018-08-01T08,75067.115926 kBTU
2018-08-01T08,37533.557963 kBTU
2018-08-01T09,78479.257559 kBTU
2018-08-01T09,37533.557963 kBTU
2018-08-01T09,75067.115926 kBTU
2018-08-01T09,40945.699596 kBTU
2018-08-01T10,75067.115926 kBTU
2018-08-01T10,37533.557963 kBTU
2018-08-01T10,81891.399192 kBTU
2018-08-01T10,37533.557963 kBTU
2018-08-01T11,78479.257559 kBTU
2018-08-01T11,40945.699596 kBTU
2018-08-01T11,78479.257559 kBTU
2018-08-01T11,40945.699596 kBTU
2018-08-01T12,85303.540825 kBTU
2018-08-01T12,40945.699596 kBTU
2018-08-01T12,78479.257559 kBTU
2018-08-01T12,44357.841229000005 kBTU
2018-08-01T13,78479.257559 kBTU
2018-08-01T13,44357.841229000005 kBTU
2018-08-01T13,78479.257559 kBTU
2018-08-01T13,40945.699596 kBTU
2018-08-01T14,81891.399192 kBTU
2018-08-01T14,40945.699596 kBTU
2018-08-01T14,85303.540825 kBTU
2018-08-01T14,40945.699596 kBTU
2018-08-01T15,81891.399192 kBTU
2018-08-01T15,44357.841229000005 kBTU
2018-08-01T15,81891.399192 kBTU
2018-08-01T15,40945.699596 kBTU
2018-08-01T16,85303.540825 kBTU
