ts,v0
2018-07-31T23,133.2867825390625 kBTU
2018-08-01T00,266.573565078125 kBTU
2018-08-01T00,133.2867825390625 kBTU
2018-08-01T00,213.2588520625 kBTU
2018-08-01T00,346.54563460156254 kBTU
2018-08-01T01,213.2588520625 kBTU
2018-08-01T01,159.944139046875 kBTU
2018-08-01T01,239.9162085703125 kBTU
2018-08-01T01,159.944139046875 kBTU
2018-08-01T02,133.2867825390625 kBTU
2018-08-01T02,186.6014955546875 kBTU
2018-08-01T02,133.2867825390625 kBTU
2018-08-01T02,133.2867825390625 kBTU
2018-08-01T03,399.86034761718753 kBTU
2018-08-01T03,293.2309215859375 kBTU
2018-08-01T03,239.9162085703125 kBTU
2018-08-01T03,133.2867825390625 kBTU
2018-08-01T04,133.2867825390625 kBTU
2018-08-01T04,159.944139046875 kBTU
2018-08-01T04,293.2309215859375 kBTU
2018-08-01T04,133.2867825390625 kBTU
2018-08-01T05,133.2867825390625 kBTU
2018-08-01T05,239.9162085703125 kBTU
2018-08-01T05,239.9162085703125 kBTU
2018-08-01T05,293.2309215859375 kBTU
2018-08-01T06,266.573565078125 kBTU
2018-08-01T06,159.944139046875 kBTU
2018-08-01T06,133.2867825390625 kBTU
2018-08-01T06,159.944139046875 kBTU
2018-08-01T07,133.2867825390625 kBTU
2018-08-01T07,213.2588520625 kBTU
2018-08-01T07,7090.856831078125 kBTU
2018-08-01T07,3971.9461196640627 kBTU
2018-08-01T08,2612.420937765625 kBTU
2018-08-01T08,4105.2329022031245 kBTU
2018-08-01T08,3092.25335490625 kBTU
2018-08-01T08,4691.694745375 kBTU
2018-08-01T09,2878.99450284375 kBTU
2018-08-01T09,3598.7431285546877 kBTU
2018-08-01T09,4265.17704125 kBTU
2018-08-01T09,3705.372554585938 kBTU
2018-08-01T10,5411.4433710859375 kBTU
2018-08-01T10,3358.826919984375 kBTU
2018-08-01T10,5598.044866640625 kBTU
2018-08-01T10,3838.659337125 kBTU
2018-08-01T11,5064.897736484375 kBTU
2018-08-01T11,5011.58302346875 kBTU
2018-08-01T11,4105.2329022031245 kBTU
2018-08-01T11,6451.080274890625 kBTU
2018-08-01T12,5384.786014578125 kBTU
2018-08-01T12,5544.730153625001 kBTU
2018-08-01T12,5358.128658070313 kBTU
2018-08-01T12,4558.407962835938 kBTU
2018-08-01T13,7410.745109171876 kBTU
2018-08-01T13,5224.84187553125 kBTU
2018-08-01T13,5891.275788226562 kBTU
2018-08-01T13,6291.136135843751 kBTU
2018-08-01T14,5411.4433710859375 kBTU
2018-08-01T14,6904.255335523438 kBTU
2018-08-01T14,5971.24785775 kBTU
2018-08-01T14,5598.044866640625 kBTU
2018-08-01T15,7597.346604726563 kBTU
2018-08-01T15,5358.128658070313 kBTU
2018-08-01T15,6690.996483460937 kBTU
2018-08-01T15,8077.179021867189 kBTU
2018-08-01T16,5304.813945054687 kBTU
2018-08-01T16,7010.884761554687 kBTU
2018-08-01T16,6957.5700485390635 kBTU
2018-08-01T16,6770.9685529843755 kBTU
2018-08-01T17,7224.143613617188 kBTU
2018-08-01T17,6211.1640663203125 kBTU
2018-08-01T17,10556.31317709375 kBTU
2018-08-01T17,6211.1640663203125 kBTU
2018-08-01T18,5384.786014578125 kBTU
2018-08-01T18,7783.948100281251 kBTU
2018-08-01T18,5358.128658070313 kBTU
2018-08-01T18,6930.91269203125 kBTU
2018-08-01T19,6637.681770445312 kBTU
2018-08-01T19,4771.666814898437 kBTU
2018-08-01T19,6770.9685529843755 kBTU
2018-08-01T19,3891.9740501406254 kBTU
2018-08-01T20,5491.415440609375 kBTU
2018-08-01T20,4638.380032359375 kBTU
2018-08-01T20,479.832417140625 kBTU
2018-08-01T20,346.54563460156254 kBTU
2018-08-01T21,159.944139046875 kBTU
2018-08-01T21,213.2588520625 kBTU
2018-08-01T21,186.6014955546875 kBTU
2018-08-01T21,133.2867825390625 kBTU
2018-08-01T22,213.2588520625 kBTU
2018-08-01T22,213.2588520625 kBTU
2018-08-01T22,133.2867825390625 kBTU
2018-08-01T22,159.944139046875 kBTU
2018-08-01T23,239.9162085703125 kBTU
2018-08-01T23,239.9162085703125 kBTU
2018-08-01T23,346.54563460156254 kBTU
2018-08-01T23,213.2588520625 kBTU
2018-08-02T00,133.2867825390625 kBTU
2018-08-02T00,133.2867825390625 kBTU
2018-08-02T00,159.944139046875 kBTU
2018-08-02T00,159.944139046875 kBTU
2018-08-02T01,266.573565078125 kBTU
2018-08-02T01,133.2867825390625 kBTU
2018-08-02T01,266.573565078125 kBTU
2018-08-02T01,319.88827809375 kBTU
2018-08-02T02,186.6014955546875 kBTU
2018-08-02T02,213.2588520625 kBTU
2018-08-02T02,213.2588520625 kBTU
2018-08-02T02,133.2867825390625 kBTU
2018-08-02T03,133.2867825390625 kBTU
2018-08-02T03,159.944139046875 kBTU
2018-08-02T03,133.2867825390625 kBTU
2018-08-02T03,319.88827809375 kBTU
2018-08-02T04,266.573565078125 kBTU
2018-08-02T04,319.88827809375 kBTU
2018-08-02T04,159.944139046875 kBTU
2018-08-02T04,133.2867825390625 kBTU
2018-08-02T05,133.2867825390625 kBTU
2018-08-02T05,293.2309215859375 kBTU
2018-08-02T05,133.2867825390625 kBTU
2018-08-02T05,133.2867825390625 kBTU
2018-08-02T06,159.944139046875 kBTU
2018-08-02T06,213.2588520625 kBTU
2018-08-02T06,346.54563460156254 kBTU
2018-08-02T06,293.2309215859375 kBTU
2018-08-02T07,186.6014955546875 kBTU
2018-08-02T07,133.2867825390625 kBTU
2018-08-02T07,7010.884761554687 kBTU
2018-08-02T07,4345.149110773437 kBTU
2018-08-02T08,1919.3296685625 kBTU
2018-08-02T08,4691.694745375 kBTU
2018-08-02T08,3092.25335490625 kBTU
2018-08-02T08,3465.456346015625 kBTU
2018-08-02T09,3172.2254244296873 kBTU
2018-08-02T09,4505.093249820313 kBTU
2018-08-02T09,2025.95909459375 kBTU
2018-08-02T09,4425.121180296875 kBTU
2018-08-02T10,2052.6164511015622 kBTU
2018-08-02T10,4425.121180296875 kBTU
2018-08-02T10,2452.47679871875 kBTU
2018-08-02T10,3012.2812853828127 kBTU
2018-08-02T11,2719.050363796875 kBTU
2018-08-02T11,3145.5680679218754 kBTU
2018-08-02T11,3198.8827809375002 kBTU
2018-08-02T11,1919.3296685625 kBTU
2018-08-02T12,4105.2329022031245 kBTU
2018-08-02T12,2079.273807609375 kBTU
2018-08-02T12,3758.6872676015623 kBTU
2018-08-02T12,2692.3930072890626 kBTU
2018-08-02T13,3812.001980617187 kBTU
2018-08-02T13,2878.99450284375 kBTU
2018-08-02T13,4798.32417140625 kBTU
2018-08-02T13,4211.862328234375 kBTU
2018-08-02T14,3785.344624109375 kBTU
2018-08-02T14,4025.260832679687 kBTU
2018-08-02T14,4878.296240929688 kBTU
2018-08-02T14,3838.659337125 kBTU
2018-08-02T15,4371.806467281251 kBTU
2018-08-02T15,3732.02991109375 kBTU
2018-08-02T15,6317.793492351562 kBTU
2018-08-02T15,3492.1137025234375 kBTU
2018-08-02T16,5731.331649179688 kBTU
2018-08-02T16,3012.2812853828127 kBTU
2018-08-02T16,4638.380032359375 kBTU
2018-08-02T16,4291.834397757812 kBTU
2018-08-02T17,5571.387510132813 kBTU
2018-08-02T17,4185.204971726563 kBTU
2018-08-02T17,3998.603476171875 kBTU
2018-08-02T17,3785.344624109375 kBTU
2018-08-02T18,4878.296240929688 kBTU
2018-08-02T18,4398.463823789062 kBTU
2018-08-02T18,2772.3650768125003 kBTU
2018-08-02T18,7757.2907437734375 kBTU
2018-08-02T19,4505.093249820313 kBTU
2018-08-02T19,3065.5959983984376 kBTU
2018-08-02T19,3785.344624109375 kBTU
2018-08-02T19,3038.938641890625 kBTU
2018-08-02T20,3785.344624109375 kBTU
2018-08-02T20,3065.5959983984376 kBTU
2018-08-02T20,1546.126677453125 kBTU
2018-08-02T20,159.944139046875 kBTU
2018-08-02T21,133.2867825390625 kBTU
2018-08-02T21,319.88827809375 kBTU
2018-08-02T21,239.9162085703125 kBTU
2018-08-02T21,239.9162085703125 kBTU
2018-08-02T22,133.2867825390625 kBTU
2018-08-02T22,159.944139046875 kBTU
2018-08-02T22,266.573565078125 kBTU
2018-08-02T22,213.2588520625 kBTU
2018-08-02T23,186.6014955546875 kBTU
2018-08-02T23,133.2867825390625 kBTU
2018-08-02T23,133.2867825390625 kBTU
2018-08-02T23,186.6014955546875 kBTU
2018-08-03T00,399.86034761718753 kBTU
2018-08-03T00,239.9162085703125 kBTU
2018-08-03T00,159.944139046875 kBTU
2018-08-03T00,213.2588520625 kBTU
2018-08-03T01,159.944139046875 kBTU
2018-08-03T01,159.944139046875 kBTU
2018-08-03T01,239.9162085703125 kBTU
2018-08-03T01,186.6014955546875 kBTU
2018-08-03T02,133.2867825390625 kBTU
2018-08-03T02,213.2588520625 kBTU
2018-08-03T02,239.9162085703125 kBTU
2018-08-03T02,213.2588520625 kBTU
2018-08-03T03,346.54563460156254 kBTU
2018-08-03T03,213.2588520625 kBTU
2018-08-03T03,133.2867825390625 kBTU
2018-08-03T03,133.2867825390625 kBTU
2018-08-03T04,186.6014955546875 kBTU
2018-08-03T04,133.2867825390625 kBTU
2018-08-03T04,266.573565078125 kBTU
2018-08-03T04,213.2588520625 kBTU
2018-08-03T05,239.9162085703125 kBTU
2018-08-03T05,293.2309215859375 kBTU
2018-08-03T05,186.6014955546875 kBTU
2018-08-03T05,159.944139046875 kBTU
2018-08-03T06,239.9162085703125 kBTU
2018-08-03T06,159.944139046875 kBTU
2018-08-03T06,133.2867825390625 kBTU
2018-08-03T06,186.6014955546875 kBTU
2018-08-03T07,133.2867825390625 kBTU
2018-08-03T07,213.2588520625 kBTU
2018-08-03T07,5438.10072759375 kBTU
2018-08-03T07,2025.95909459375 kBTU
2018-08-03T08,1919.3296685625 kBTU
2018-08-03T08,1866.014955546875 kBTU
2018-08-03T08,2665.73565078125 kBTU
2018-08-03T08,2985.623928875 kBTU
2018-08-03T09,2025.95909459375 kBTU
2018-08-03T09,3012.2812853828127 kBTU
2018-08-03T09,3038.938641890625 kBTU
2018-08-03T09,3492.1137025234375 kBTU
2018-08-03T10,3225.5401374453127 kBTU
2018-08-03T10,3198.8827809375002 kBTU
2018-08-03T10,3652.0578415703126 kBTU
2018-08-03T10,3278.8548504609375 kBTU
2018-08-03T11,3438.798989507812 kBTU
2018-08-03T11,4158.54761521875 kBTU
2018-08-03T11,2772.3650768125003 kBTU
2018-08-03T11,5198.184519023438 kBTU
2018-08-03T12,3732.02991109375 kBTU
2018-08-03T12,3998.603476171875 kBTU
2018-08-03T12,4824.981527914063 kBTU
2018-08-03T12,4318.491754265625 kBTU
2018-08-03T13,4984.925666960938 kBTU
2018-08-03T13,3252.1974939531246 kBTU
2018-08-03T13,6157.849353304688 kBTU
2018-08-03T13,3305.51220696875 kBTU
2018-08-03T14,6797.625909492187 kBTU
2018-08-03T14,3518.7710590312504 kBTU
2018-08-03T14,6477.737631398438 kBTU
2018-08-03T14,4238.519684742188 kBTU
2018-08-03T15,6051.219927273437 kBTU
2018-08-03T15,5118.2124495 kBTU
2018-08-03T15,5624.702223148438 kBTU
2018-08-03T15,5064.897736484375 kBTU
2018-08-03T16,5358.128658070313 kBTU
2018-08-03T16,5678.016936164062 kBTU
2018-08-03T16,4531.750606328125 kBTU
2018-08-03T16,5971.24785775 kBTU
2018-08-03T17,4451.778536804688 kBTU
2018-08-03T17,7117.514187585938 kBTU
2018-08-03T17,4131.890258710938 kBTU
2018-08-03T17,6077.87728378125 kBTU
2018-08-03T18,4904.9535974375 kBTU
2018-08-03T18,5518.072797117187 kBTU
2018-08-03T18,4558.407962835938 kBTU
2018-08-03T18,3918.6314066484374 kBTU
2018-08-03T19,5864.61843171875 kBTU
2018-08-03T19,3438.798989507812 kBTU
2018-08-03T19,5971.24785775 kBTU
2018-08-03T19,3465.456346015625 kBTU
2018-08-03T20,4265.17704125 kBTU
2018-08-03T20,3545.4284155390624 kBTU
2018-08-03T20,746.40598221875 kBTU
2018-08-03T20,133.2867825390625 kBTU
2018-08-03T21,266.573565078125 kBTU
2018-08-03T21,266.573565078125 kBTU
2018-08-03T21,159.944139046875 kBTU
2018-08-03T21,159.944139046875 kBTU
2018-08-03T22,133.2867825390625 kBTU
2018-08-03T22,2025.95909459375 kBTU
2018-08-03T22,1759.3855295156252 kBTU
2018-08-03T22,346.54563460156254 kBTU
2018-08-03T23,133.2867825390625 kBTU
2018-08-03T23,213.2588520625 kBTU
2018-08-03T23,186.6014955546875 kBTU
2018-08-03T23,159.944139046875 kBTU
2018-08-04T00,159.944139046875 kBTU
2018-08-04T00,266.573565078125 kBTU
2018-08-04T00,133.2867825390625 kBTU
2018-08-04T00,186.6014955546875 kBTU
2018-08-04T01,239.9162085703125 kBTU
2018-08-04T01,266.573565078125 kBTU
2018-08-04T01,159.944139046875 kBTU
2018-08-04T01,346.54563460156254 kBTU
2018-08-04T02,186.6014955546875 kBTU
2018-08-04T02,133.2867825390625 kBTU
2018-08-04T02,159.944139046875 kBTU
2018-08-04T02,133.2867825390625 kBTU
2018-08-04T03,239.9162085703125 kBTU
2018-08-04T03,213.2588520625 kBTU
2018-08-04T03,239.9162085703125 kBTU
2018-08-04T03,266.573565078125 kBTU
2018-08-04T04,239.9162085703125 kBTU
2018-08-04T04,159.944139046875 kBTU
2018-08-04T04,293.2309215859375 kBTU
2018-08-04T04,133.2867825390625 kBTU
2018-08-04T05,159.944139046875 kBTU
2018-08-04T05,133.2867825390625 kBTU
2018-08-04T05,186.6014955546875 kBTU
2018-08-04T05,133.2867825390625 kBTU
2018-08-04T06,373.202991109375 kBTU
2018-08-04T06,293.2309215859375 kBTU
2018-08-04T06,239.9162085703125 kBTU
2018-08-04T06,133.2867825390625 kBTU
2018-08-04T07,186.6014955546875 kBTU
2018-08-04T07,133.2867825390625 kBTU
2018-08-04T07,266.573565078125 kBTU
2018-08-04T07,186.6014955546875 kBTU
2018-08-04T08,133.2867825390625 kBTU
2018-08-04T08,159.944139046875 kBTU
2018-08-04T08,319.88827809375 kBTU
2018-08-04T08,293.2309215859375 kBTU
2018-08-04T09,266.573565078125 kBTU
2018-08-04T09,159.944139046875 kBTU
2018-08-04T09,133.2867825390625 kBTU
2018-08-04T09,133.2867825390625 kBTU
2018-08-04T10,159.944139046875 kBTU
2018-08-04T10,133.2867825390625 kBTU
2018-08-04T10,239.9162085703125 kBTU
2018-08-04T10,239.9162085703125 kBTU
2018-08-04T11,319.88827809375 kBTU
2018-08-04T11,239.9162085703125 kBTU
2018-08-04T11,159.944139046875 kBTU
2018-08-04T11,213.2588520625 kBTU
2018-08-04T12,186.6014955546875 kBTU
2018-08-04T12,159.944139046875 kBTU
2018-08-04T12,133.2867825390625 kBTU
2018-08-04T12,159.944139046875 kBTU
2018-08-04T13,133.2867825390625 kBTU
2018-08-04T13,266.573565078125 kBTU
2018-08-04T13,426.517704125 kBTU
2018-08-04T13,213.2588520625 kBTU
2018-08-04T14,133.2867825390625 kBTU
2018-08-04T14,159.944139046875 kBTU
2018-08-04T14,133.2867825390625 kBTU
2018-08-04T14,133.2867825390625 kBTU
2018-08-04T15,293.2309215859375 kBTU
2018-08-04T15,159.944139046875 kBTU
2018-08-04T15,239.9162085703125 kBTU
2018-08-04T15,239.9162085703125 kBTU
2018-08-04T16,239.9162085703125 kBTU
2018-08-04T16,159.944139046875 kBTU
2018-08-04T16,266.573565078125 kBTU
2018-08-04T16,159.944139046875 kBTU
2018-08-04T17,159.944139046875 kBTU
2018-08-04T17,133.2867825390625 kBTU
2018-08-04T17,159.944139046875 kBTU
2018-08-04T17,213.2588520625 kBTU
2018-08-04T18,319.88827809375 kBTU
2018-08-04T18,239.9162085703125 kBTU
2018-08-04T18,266.573565078125 kBTU
2018-08-04T18,133.2867825390625 kBTU
2018-08-04T19,159.944139046875 kBTU
2018-08-04T19,159.944139046875 kBTU
2018-08-04T19,266.573565078125 kBTU
2018-08-04T19,186.6014955546875 kBTU
2018-08-04T20,213.2588520625 kBTU
2018-08-04T20,133.2867825390625 kBTU
2018-08-04T20,213.2588520625 kBTU
2018-08-04T20,239.9162085703125 kBTU
2018-08-04T21,293.2309215859375 kBTU
2018-08-04T21,213.2588520625 kBTU
2018-08-04T21,133.2867825390625 kBTU
2018-08-04T21,186.6014955546875 kBTU
2018-08-04T22,186.6014955546875 kBTU
2018-08-04T22,213.2588520625 kBTU
2018-08-04T22,133.2867825390625 kBTU
2018-08-04T22,266.573565078125 kBTU
2018-08-04T23,239.9162085703125 kBTU
2018-08-04T23,239.9162085703125 kBTU
2018-08-04T23,826.3780517421875 kBTU
2018-08-04T23,2958.966572367188 kBTU
2018-08-05T00,133.2867825390625 kBTU
2018-08-05T00,319.88827809375 kBTU
2018-08-05T00,239.9162085703125 kBTU
2018-08-05T00,133.2867825390625 kBTU
2018-08-05T01,159.944139046875 kBTU
2018-08-05T01,186.6014955546875 kBTU
2018-08-05T01,293.2309215859375 kBTU
2018-08-05T01,319.88827809375 kBTU
2018-08-05T02,159.944139046875 kBTU
2018-08-05T02,133.2867825390625 kBTU
2018-08-05T02,213.2588520625 kBTU
2018-08-05T02,213.2588520625 kBTU
2018-08-05T03,266.573565078125 kBTU
2018-08-05T03,159.944139046875 kBTU
2018-08-05T03,159.944139046875 kBTU
2018-08-05T03,213.2588520625 kBTU
2018-08-05T04,239.9162085703125 kBTU
2018-08-05T04,239.9162085703125 kBTU
2018-08-05T04,293.2309215859375 kBTU
2018-08-05T04,159.944139046875 kBTU
2018-08-05T05,213.2588520625 kBTU
2018-08-05T05,159.944139046875 kBTU
2018-08-05T05,186.6014955546875 kBTU
2018-08-05T05,133.2867825390625 kBTU
2018-08-05T06,266.573565078125 kBTU
2018-08-05T06,239.9162085703125 kBTU
2018-08-05T06,266.573565078125 kBTU
2018-08-05T06,159.944139046875 kBTU
2018-08-05T07,186.6014955546875 kBTU
2018-08-05T07,239.9162085703125 kBTU
2018-08-05T07,266.573565078125 kBTU
2018-08-05T07,133.2867825390625 kBTU
2018-08-05T08,186.6014955546875 kBTU
2018-08-05T08,133.2867825390625 kBTU
2018-08-05T08,159.944139046875 kBTU
2018-08-05T08,373.202991109375 kBTU
2018-08-05T09,239.9162085703125 kBTU
2018-08-05T09,186.6014955546875 kBTU
2018-08-05T09,186.6014955546875 kBTU
2018-08-05T09,213.2588520625 kBTU
2018-08-05T10,133.2867825390625 kBTU
2018-08-05T10,239.9162085703125 kBTU
2018-08-05T10,159.944139046875 kBTU
2018-08-05T10,159.944139046875 kBTU
2018-08-05T11,213.2588520625 kBTU
2018-08-05T11,239.9162085703125 kBTU
2018-08-05T11,293.2309215859375 kBTU
2018-08-05T11,239.9162085703125 kBTU
2018-08-05T12,186.6014955546875 kBTU
2018-08-05T12,186.6014955546875 kBTU
2018-08-05T12,133.2867825390625 kBTU
2018-08-05T12,133.2867825390625 kBTU
2018-08-05T13,159.944139046875 kBTU
2018-08-05T13,239.9162085703125 kBTU
2018-08-05T13,293.2309215859375 kBTU
2018-08-05T13,239.9162085703125 kBTU
2018-08-05T14,266.573565078125 kBTU
2018-08-05T14,239.9162085703125 kBTU
2018-08-05T14,133.2867825390625 kBTU
2018-08-05T14,266.573565078125 kBTU
2018-08-05T15,133.2867825390625 kBTU
2018-08-05T15,133.2867825390625 kBTU
2018-08-05T15,186.6014955546875 kBTU
2018-08-05T15,159.944139046875 kBTU
2018-08-05T16,319.88827809375 kBTU
2018-08-05T16,373.202991109375 kBTU
2018-08-05T16,239.9162085703125 kBTU
2018-08-05T16,373.202991109375 kBTU
2018-08-05T17,2319.1900161796875 kBTU
2018-08-05T17,1839.3575990390625 kBTU
2018-08-05T17,266.573565078125 kBTU
2018-08-05T17,133.2867825390625 kBTU
2018-08-05T18,133.2867825390625 kBTU
2018-08-05T18,293.2309215859375 kBTU
2018-08-05T18,293.2309215859375 kBTU
2018-08-05T18,266.573565078125 kBTU
2018-08-05T19,479.832417140625 kBTU
2018-08-05T19,2265.8753031640626 kBTU
2018-08-05T19,159.944139046875 kBTU
2018-08-05T19,133.2867825390625 kBTU
2018-08-05T20,186.6014955546875 kBTU
2018-08-05T20,133.2867825390625 kBTU
2018-08-05T20,266.573565078125 kBTU
2018-08-05T20,266.573565078125 kBTU
2018-08-05T21,319.88827809375 kBTU
2018-08-05T21,213.2588520625 kBTU
2018-08-05T21,133.2867825390625 kBTU
2018-08-05T21,159.944139046875 kBTU
2018-08-05T22,266.573565078125 kBTU
2018-08-05T22,133.2867825390625 kBTU
2018-08-05T22,159.944139046875 kBTU
2018-08-05T22,133.2867825390625 kBTU
2018-08-05T23,239.9162085703125 kBTU
2018-08-05T23,293.2309215859375 kBTU
2018-08-05T23,373.202991109375 kBTU
2018-08-05T23,186.6014955546875 kBTU
2018-08-06T00,133.2867825390625 kBTU
2018-08-06T00,159.944139046875 kBTU
2018-08-06T00,133.2867825390625 kBTU
2018-08-06T00,213.2588520625 kBTU
2018-08-06T01,213.2588520625 kBTU
2018-08-06T01,159.944139046875 kBTU
2018-08-06T01,319.88827809375 kBTU
2018-08-06T01,2985.623928875 kBTU
2018-08-06T02,746.40598221875 kBTU
2018-08-06T02,293.2309215859375 kBTU
2018-08-06T02,133.2867825390625 kBTU
2018-08-06T02,159.944139046875 kBTU
2018-08-06T03,133.2867825390625 kBTU
2018-08-06T03,186.6014955546875 kBTU
2018-08-06T03,159.944139046875 kBTU
2018-08-06T03,319.88827809375 kBTU
2018-08-06T04,319.88827809375 kBTU
2018-08-06T04,239.9162085703125 kBTU
2018-08-06T04,186.6014955546875 kBTU
2018-08-06T04,133.2867825390625 kBTU
2018-08-06T05,186.6014955546875 kBTU
2018-08-06T05,213.2588520625 kBTU
2018-08-06T05,186.6014955546875 kBTU
2018-08-06T05,133.2867825390625 kBTU
2018-08-06T06,159.944139046875 kBTU
2018-08-06T06,319.88827809375 kBTU
2018-08-06T06,399.86034761718753 kBTU
2018-08-06T06,159.944139046875 kBTU
2018-08-06T07,186.6014955546875 kBTU
2018-08-06T07,133.2867825390625 kBTU
2018-08-06T07,6184.5067098125 kBTU
2018-08-06T07,2079.273807609375 kBTU
2018-08-06T08,1999.3017380859376 kBTU
2018-08-06T08,2745.7077203046874 kBTU
2018-08-06T08,2852.3371463359376 kBTU
2018-08-06T08,1972.644381578125 kBTU
2018-08-06T09,2692.3930072890626 kBTU
2018-08-06T09,3038.938641890625 kBTU
2018-08-06T09,2985.623928875 kBTU
2018-08-06T09,2105.9311641171876 kBTU
2018-08-06T10,3998.603476171875 kBTU
2018-08-06T10,1839.3575990390625 kBTU
2018-08-06T10,4398.463823789062 kBTU
2018-08-06T10,1972.644381578125 kBTU
2018-08-06T11,4824.981527914063 kBTU
2018-08-06T11,2452.47679871875 kBTU
2018-08-06T11,4505.093249820313 kBTU
2018-08-06T11,3918.6314066484374 kBTU
2018-08-06T12,3038.938641890625 kBTU
2018-08-06T12,5438.10072759375 kBTU
2018-08-06T12,1945.9870250703127 kBTU
2018-08-06T12,5518.072797117187 kBTU
2018-08-06T13,4078.575545695313 kBTU
2018-08-06T13,3705.372554585938 kBTU
2018-08-06T13,5144.869806007812 kBTU
2018-08-06T13,3812.001980617187 kBTU
2018-08-06T14,6024.562570765625 kBTU
2018-08-06T14,3092.25335490625 kBTU
2018-08-06T14,4638.380032359375 kBTU
2018-08-06T14,5544.730153625001 kBTU
2018-08-06T15,4078.575545695313 kBTU
2018-08-06T15,5624.702223148438 kBTU
2018-08-06T15,5091.555092992187 kBTU
2018-08-06T15,4265.17704125 kBTU
2018-08-06T16,6104.534640289063 kBTU
