ts,v0
2018-07-31T23,99.84 kBTU
2018-08-01T00,100.352 kBTU
2018-08-01T00,99.84 kBTU
2018-08-01T00,99.84 kBTU
2018-08-01T00,200.192 kBTU
2018-08-01T01,0.0 kBTU
2018-08-01T01,0.0 kBTU
2018-08-01T01,99.84 kBTU
2018-08-01T01,0.0 kBTU
2018-08-01T02,0.0 kBTU
2018-08-01T02,0.0 kBTU
2018-08-01T02,100.352 kBTU
2018-08-01T02,0.0 kBTU
2018-08-01T03,0.0 kBTU
2018-08-01T03,99.84 kBTU
2018-08-01T03,0.0 kBTU
2018-08-01T03,0.0 kBTU
2018-08-01T04,199.68 kBTU
2018-08-01T04,200.192 kBTU
2018-08-01T04,300.032 kBTU
2018-08-01T04,200.192 kBTU
2018-08-01T05,199.68 kBTU
2018-08-01T05,300.032 kBTU
2018-08-01T05,200.192 kBTU
2018-08-01T05,199.68 kBTU
2018-08-01T06,300.032 kBTU
2018-08-01T06,200.192 kBTU
2018-08-01T06,300.032 kBTU
2018-08-01T06,200.192 kBTU
2018-08-01T07,199.68 kBTU
2018-08-01T07,300.032 kBTU
2018-08-01T07,200.192 kBTU
2018-08-01T07,199.68 kBTU
2018-08-01T08,300.032 kBTU
2018-08-01T08,200.192 kBTU
2018-08-01T08,200.192 kBTU
2018-08-01T08,299.52 kBTU
2018-08-01T09,200.192 kBTU
2018-08-01T09,200.192 kBTU
2018-08-01T09,300.032 kBTU
2018-08-01T09,199.68 kBTU
2018-08-01T10,100.352 kBTU
2018-08-01T10,99.84 kBTU
2018-08-01T10,0.0 kBTU
2018-08-01T10,0.0 kBTU
2018-08-01T11,0.0 kBTU
2018-08-01T11,99.84 kBTU
2018-08-01T11,0.0 kBTU
2018-08-01T11,100.352 kBTU
2018-08-01T12,99.84 kBTU
2018-08-01T12,300.032 kBTU
2018-08-01T12,199.68 kBTU
2018-08-01T12,300.032 kBTU
2018-08-01T13,200.192 kBTU
2018-08-01T13,300.032 kBTU
2018-08-01T13,200.192 kBTU
2018-08-01T13,299.52 kBTU
2018-08-01T14,200.192 kBTU
2018-08-01T14,300.032 kBTU
2018-08-01T14,200.192 kBTU
2018-08-01T14,300.032 kBTU
2018-08-01T15,99.84 kBTU
2018-08-01T15,0.0 kBTU
2018-08-01T15,99.84 kBTU
2018-08-01T15,0.0 kBTU
2018-08-01T16,0.0 kBTU
2018-08-01T16,100.352 kBTU
2018-08-01T16,0.0 kBTU
2018-08-01T16,0.0 kBTU
2018-08-01T17,99.84 kBTU
2018-08-01T17,0.0 kBTU
2018-08-01T17,0.0 kBTU
2018-08-01T17,99.84 kBTU
2018-08-01T18,200.192 kBTU
2018-08-01T18,199.68 kBTU
2018-08-01T18,300.032 kBTU
2018-08-01T18,200.192 kBTU
2018-08-01T19,300.032 kBTU
2018-08-01T19,300.032 kBTU
2018-08-01T19,199.68 kBTU
2018-08-01T19,300.032 kBTU
2018-08-01T20,100.352 kBTU
2018-08-01T20,0.0 kBTU
2018-08-01T20,0.0 kBTU
2018-08-01T20,99.84 kBTU
2018-08-01T21,0.0 kBTU
2018-08-01T21,0.0 kBTU
2018-08-01T21,99.84 kBTU
2018-08-01T21,0.0 kBTU
2018-08-01T22,100.352 kBTU
2018-08-01T22,0.0 kBTU
2018-08-01T22,0.0 kBTU
2018-08-01T22,99.84 kBTU
2018-08-01T23,0.0 kBTU
2018-08-01T23,0.0 kBTU
2018-08-01T23,99.84 kBTU
2018-08-01T23,0.0 kBTU
2018-08-02T00,100.352 kBTU
2018-08-02T00,99.84 kBTU
2018-08-02T00,200.192 kBTU
2018-08-02T00,199.68 kBTU
2018-08-02T01,0.0 kBTU
2018-08-02T01,100.352 kBTU
2018-08-02T01,0.0 kBTU
2018-08-02T01,0.0 kBTU
2018-08-02T02,99.84 kBTU
2018-08-02T02,0.0 kBTU
2018-08-02T02,0.0 kBTU
2018-08-02T02,99.84 kBTU
2018-08-02T03,0.0 kBTU
2018-08-02T03,0.0 kBTU
2018-08-02T03,99.84 kBTU
2018-08-02T03,0.0 kBTU
2018-08-02T04,200.192 kBTU
2018-08-02T04,200.192 kBTU
2018-08-02T04,300.032 kBTU
2018-08-02T04,199.68 kBTU
2018-08-02T05,200.192 kBTU
2018-08-02T05,300.032 kBTU
2018-08-02T05,199.68 kBTU
2018-08-02T05,300.032 kBTU
2018-08-02T06,200.192 kBTU
2018-08-02T06,300.032 kBTU
2018-08-02T06,200.192 kBTU
2018-08-02T06,300.032 kBTU
2018-08-02T07,199.68 kBTU
2018-08-02T07,200.192 kBTU
2018-08-02T07,300.032 kBTU
2018-08-02T07,199.68 kBTU
2018-08-02T08,300.032 kBTU
2018-08-02T08,200.192 kBTU
2018-08-02T08,300.032 kBTU
2018-08-02T08,199.68 kBTU
2018-08-02T09,300.032 kBTU
2018-08-02T09,200.192 kBTU
2018-08-02T09,200.192 kBTU
2018-08-02T09,300.032 kBTU
2018-08-02T10,99.84 kBTU
2018-08-02T10,0.0 kBTU
2018-08-02T10,99.84 kBTU
2018-08-02T10,0.0 kBTU
2018-08-02T11,100.352 kBTU
2018-08-02T11,0.0 kBTU
2018-08-02T11,0.0 kBTU
2018-08-02T11,99.84 kBTU
2018-08-02T12,99.84 kBTU
2018-08-02T12,300.032 kBTU
2018-08-02T12,300.032 kBTU
2018-08-02T12,200.192 kBTU
2018-08-02T13,300.032 kBTU
2018-08-02T13,199.68 kBTU
2018-08-02T13,300.032 kBTU
2018-08-02T13,200.192 kBTU
2018-08-02T14,300.032 kBTU
2018-08-02T14,199.68 kBTU
2018-08-02T14,500.224 kBTU
2018-08-02T15,99.84 kBTU
2018-08-02T15,100.352 kBTU
2018-08-02T15,0.0 kBTU
2018-08-02T15,99.84 kBTU
2018-08-02T16,0.0 kBTU
2018-08-02T16,0.0 kBTU
2018-08-02T16,99.84 kBTU
2018-08-02T16,0.0 kBTU
2018-08-02T17,99.84 kBTU
2018-08-02T17,0.0 kBTU
2018-08-02T17,0.0 kBTU
2018-08-02T17,100.352 kBTU
2018-08-02T18,99.84 kBTU
2018-08-02T18,300.032 kBTU
2018-08-02T18,300.032 kBTU
2018-08-02T18,200.192 kBTU
2018-08-02T19,299.52 kBTU
2018-08-02T19,200.192 kBTU
2018-08-02T19,300.032 kBTU
2018-08-02T19,200.192 kBTU
2018-08-02T20,99.84 kBTU
2018-08-02T20,0.0 kBTU
2018-08-02T20,99.84 kBTU
2018-08-02T20,0.0 kBTU
2018-08-02T21,100.352 kBTU
2018-08-02T21,0.0 kBTU
2018-08-02T21,99.84 kBTU
2018-08-02T21,0.0 kBTU
2018-08-02T22,0.0 kBTU
2018-08-02T22,99.84 kBTU
2018-08-02T22,0.0 kBTU
2018-08-02T22,0.0 kBTU
2018-08-02T23,100.352 kBTU
2018-08-02T23,0.0 kBTU
2018-08-02T23,99.84 kBTU
2018-08-02T23,0.0 kBTU
2018-08-03T00,99.84 kBTU
2018-08-03T00,100.352 kBTU
2018-08-03T00,99.84 kBTU
2018-08-03T00,99.84 kBTU
2018-08-03T01,99.84 kBTU
2018-08-03T01,0.0 kBTU
2018-08-03T01,100.352 kBTU
2018-08-03T01,0.0 kBTU
2018-08-03T02,0.0 kBTU
2018-08-03T02,99.84 kBTU
2018-08-03T02,0.0 kBTU
2018-08-03T02,99.84 kBTU
2018-08-03T03,0.0 kBTU
2018-08-03T03,0.0 kBTU
2018-08-03T03,100.352 kBTU
2018-08-03T03,0.0 kBTU
2018-08-03T04,199.68 kBTU
2018-08-03T04,300.032 kBTU
2018-08-03T04,200.192 kBTU
2018-08-03T04,300.032 kBTU
2018-08-03T05,199.68 kBTU
2018-08-03T05,200.192 kBTU
2018-08-03T05,300.032 kBTU
2018-08-03T05,200.192 kBTU
2018-08-03T06,300.032 kBTU
2018-08-03T06,199.68 kBTU
2018-08-03T06,300.032 kBTU
2018-08-03T06,200.192 kBTU
2018-08-03T07,199.68 kBTU
2018-08-03T07,300.032 kBTU
2018-08-03T07,200.192 kBTU
2018-08-03T07,200.192 kBTU
2018-08-03T08,299.52 kBTU
2018-08-03T08,200.192 kBTU
2018-08-03T08,300.032 kBTU
2018-08-03T08,200.192 kBTU
2018-08-03T09,300.032 kBTU
2018-08-03T09,199.68 kBTU
2018-08-03T09,200.192 kBTU
2018-08-03T09,300.032 kBTU
2018-08-03T10,99.84 kBTU
2018-08-03T10,99.84 kBTU
2018-08-03T10,0.0 kBTU
2018-08-03T10,0.0 kBTU
2018-08-03T11,100.352 kBTU
2018-08-03T11,0.0 kBTU
2018-08-03T11,99.84 kBTU
2018-08-03T11,0.0 kBTU
2018-08-03T12,200.192 kBTU
2018-08-03T12,300.032 kBTU
2018-08-03T12,199.68 kBTU
2018-08-03T12,300.032 kBTU
2018-08-03T13,200.192 kBTU
2018-08-03T13,300.032 kBTU
2018-08-03T13,300.032 kBTU
2018-08-03T13,199.68 kBTU
2018-08-03T14,300.032 kBTU
2018-08-03T14,200.192 kBTU
2018-08-03T14,200.192 kBTU
2018-08-03T14,299.52 kBTU
2018-08-03T15,100.352 kBTU
2018-08-03T15,0.0 kBTU
2018-08-03T15,99.84 kBTU
2018-08-03T15,0.0 kBTU
2018-08-03T16,0.0 kBTU
2018-08-03T16,99.84 kBTU
2018-08-03T16,0.0 kBTU
2018-08-03T16,100.352 kBTU
2018-08-03T17,0.0 kBTU
2018-08-03T17,99.84 kBTU
2018-08-03T17,0.0 kBTU
2018-08-03T17,0.0 kBTU
