ts,v0
2018-07-31T23,0.01 kBTU
2018-08-01T00,0.009 kBTU
2018-08-01T00,0.009 kBTU
2018-08-01T00,0.009 kBTU
2018-08-01T00,0.009 kBTU
2018-08-01T01,0.008 kBTU
2018-08-01T01,0.009 kBTU
2018-08-01T01,0.009 kBTU
2018-08-01T01,0.008 kBTU
2018-08-01T02,0.017 kBTU
2018-08-01T02,0.008 kBTU
2018-08-01T02,0.007 kBTU
2018-08-01T03,0.007 kBTU
2018-08-01T03,0.007 kBTU
2018-08-01T03,0.006 kBTU
2018-08-01T03,0.007 kBTU
2018-08-01T04,0.006 kBTU
2018-08-01T04,0.006 kBTU
2018-08-01T04,0.006 kBTU
2018-08-01T04,0.006 kBTU
2018-08-01T05,0.006 kBTU
2018-08-01T05,0.005 kBTU
2018-08-01T05,0.006 kBTU
2018-08-01T05,0.006 kBTU
2018-08-01T06,0.006 kBTU
2018-08-01T06,0.005 kBTU
2018-08-01T06,0.004 kBTU
2018-08-01T06,0.007 kBTU
2018-08-01T07,0.003 kBTU
2018-08-01T07,0.003 kBTU
2018-08-01T07,0.003 kBTU
2018-08-01T08,0.002 kBTU
2018-08-01T08,0.003 kBTU
2018-08-01T08,0.003 kBTU
2018-08-01T08,0.004 kBTU
2018-08-01T09,0.004 kBTU
2018-08-01T09,0.005 kBTU
2018-08-01T09,0.006 kBTU
2018-08-01T09,0.006 kBTU
2018-08-01T10,0.005 kBTU
2018-08-01T10,0.006 kBTU
2018-08-01T10,0.006 kBTU
2018-08-01T10,0.006 kBTU
2018-08-01T11,0.006 kBTU
2018-08-01T11,0.005 kBTU
2018-08-01T11,0.006 kBTU
2018-08-01T11,0.006 kBTU
2018-08-01T12,0.006 kBTU
2018-08-01T12,0.006 kBTU
2018-08-01T12,0.006 kBTU
2018-08-01T12,0.007 kBTU
2018-08-01T13,0.006 kBTU
2018-08-01T13,0.006 kBTU
2018-08-01T13,0.006 kBTU
2018-08-01T13,0.006 kBTU
2018-08-01T14,0.006 kBTU
2018-08-01T14,0.006 kBTU
2018-08-01T14,0.006 kBTU
2018-08-01T14,0.006 kBTU
2018-08-01T15,0.006 kBTU
2018-08-01T15,0.006 kBTU
2018-08-01T15,0.006 kBTU
2018-08-01T15,0.006 kBTU
2018-08-01T16,0.006 kBTU
2018-08-01T16,0.007 kBTU
2018-08-01T16,0.006 kBTU
2018-08-01T16,0.007 kBTU
