ts,v0
2018-07-31T23,3412.141633 kBTU
2018-08-01T00,3518.7710590312504 kBTU
2018-08-01T00,3198.8827809375002 kBTU
2018-08-01T00,3198.8827809375002 kBTU
2018-08-01T00,3305.51220696875 kBTU
2018-08-01T01,3412.141633 kBTU
2018-08-01T01,3305.51220696875 kBTU
2018-08-01T01,3305.51220696875 kBTU
2018-08-01T01,3198.8827809375002 kBTU
2018-08-01T02,2985.623928875 kBTU
2018-08-01T02,3305.51220696875 kBTU
2018-08-01T02,3092.25335490625 kBTU
2018-08-01T02,3305.51220696875 kBTU
2018-08-01T03,3198.8827809375002 kBTU
2018-08-01T03,3305.51220696875 kBTU
2018-08-01T03,3305.51220696875 kBTU
2018-08-01T03,3305.51220696875 kBTU
2018-08-01T04,3092.25335490625 kBTU
2018-08-01T04,3092.25335490625 kBTU
2018-08-01T04,2985.623928875 kBTU
2018-08-01T04,3198.8827809375002 kBTU
2018-08-01T05,3412.141633 kBTU
2018-08-01T05,2239.2179466562498 kBTU
2018-08-01T05,1919.3296685625 kBTU
2018-08-01T05,1599.4413904687501 kBTU
2018-08-01T06,1386.1825384062502 kBTU
2018-08-01T06,1172.92368634375 kBTU
2018-08-01T06,1279.553112375 kBTU
2018-08-01T06,1279.553112375 kBTU
2018-08-01T07,1279.553112375 kBTU
2018-08-01T07,1492.8119644375 kBTU
2018-08-01T07,1279.553112375 kBTU
2018-08-01T07,1386.1825384062502 kBTU
2018-08-01T08,1386.1825384062502 kBTU
2018-08-01T08,1172.92368634375 kBTU
2018-08-01T08,1279.553112375 kBTU
2018-08-01T08,1066.2942603125 kBTU
2018-08-01T09,1172.92368634375 kBTU
2018-08-01T09,1492.8119644375 kBTU
2018-08-01T09,1492.8119644375 kBTU
2018-08-01T09,2025.95909459375 kBTU
2018-08-01T10,1386.1825384062502 kBTU
2018-08-01T10,1386.1825384062502 kBTU
2018-08-01T10,1599.4413904687501 kBTU
2018-08-01T10,2772.3650768125003 kBTU
2018-08-01T11,2452.47679871875 kBTU
2018-08-01T11,2772.3650768125003 kBTU
2018-08-01T11,2772.3650768125003 kBTU
2018-08-01T11,3198.8827809375002 kBTU
2018-08-01T12,3198.8827809375002 kBTU
2018-08-01T12,2345.8473726875 kBTU
2018-08-01T12,2132.588520625 kBTU
2018-08-01T12,1812.7002425312498 kBTU
2018-08-01T13,1706.0708165 kBTU
2018-08-01T13,1919.3296685625 kBTU
2018-08-01T13,2025.95909459375 kBTU
2018-08-01T13,2025.95909459375 kBTU
2018-08-01T14,2132.588520625 kBTU
2018-08-01T14,2452.47679871875 kBTU
2018-08-01T14,1812.7002425312498 kBTU
2018-08-01T14,2772.3650768125003 kBTU
2018-08-01T15,1386.1825384062502 kBTU
2018-08-01T15,1706.0708165 kBTU
2018-08-01T15,2132.588520625 kBTU
2018-08-01T15,2025.95909459375 kBTU
2018-08-01T16,2239.2179466562498 kBTU
2018-08-01T16,1919.3296685625 kBTU
2018-08-01T16,1919.3296685625 kBTU
2018-08-01T16,1919.3296685625 kBTU
2018-08-01T17,1919.3296685625 kBTU
2018-08-01T17,2132.588520625 kBTU
2018-08-01T17,2239.2179466562498 kBTU
2018-08-01T17,1812.7002425312498 kBTU
2018-08-01T18,1812.7002425312498 kBTU
2018-08-01T18,3092.25335490625 kBTU
2018-08-01T18,3412.141633 kBTU
2018-08-01T18,3412.141633 kBTU
2018-08-01T19,4371.806467281251 kBTU
2018-08-01T19,4265.17704125 kBTU
2018-08-01T19,4904.9535974375 kBTU
2018-08-01T19,4051.9181891875 kBTU
2018-08-01T20,5544.730153625001 kBTU
2018-08-01T20,7890.5775263125 kBTU
2018-08-01T20,7890.5775263125 kBTU
2018-08-01T20,7997.20695234375 kBTU
2018-08-01T21,7464.0598221875 kBTU
2018-08-01T21,7570.68924821875 kBTU
2018-08-01T21,7357.43039615625 kBTU
2018-08-01T21,7570.68924821875 kBTU
2018-08-01T22,8210.465804406249 kBTU
2018-08-01T22,8423.72465646875 kBTU
2018-08-01T22,8850.24236059375 kBTU
2018-08-01T22,8850.24236059375 kBTU
2018-08-01T23,8743.612934562501 kBTU
2018-08-01T23,9063.50121265625 kBTU
2018-08-01T23,9063.50121265625 kBTU
2018-08-01T23,9490.018916781251 kBTU
2018-08-02T00,9703.277768843749 kBTU
