ts,v0
2018-07-31T23,89.984 kBTU
2018-08-01T00,20.096 kBTU
2018-08-01T00,9.984 kBTU
2018-08-01T00,69.888 kBTU
2018-08-01T00,160.0 kBTU
2018-08-01T01,120.064 kBTU
2018-08-01T01,120.064 kBTU
2018-08-01T01,59.904 kBTU
2018-08-01T01,89.984 kBTU
2018-08-01T02,120.064 kBTU
2018-08-01T02,119.936 kBTU
2018-08-01T02,110.08 kBTU
2018-08-01T02,59.904 kBTU
2018-08-01T03,100.096 kBTU
2018-08-01T03,119.936 kBTU
2018-08-01T03,110.08 kBTU
2018-08-01T03,89.984 kBTU
2018-08-01T04,29.952 kBTU
2018-08-01T04,130.048 kBTU
2018-08-01T04,99.968 kBTU
2018-08-01T04,29.952 kBTU
2018-08-01T05,120.064 kBTU
2018-08-01T05,99.968 kBTU
2018-08-01T05,29.952 kBTU
2018-08-01T05,100.096 kBTU
2018-08-01T06,99.968 kBTU
2018-08-01T06,9.984 kBTU
2018-08-01T06,109.952 kBTU
2018-08-01T06,90.112 kBTU
2018-08-01T07,19.968 kBTU
2018-08-01T07,119.936 kBTU
2018-08-01T07,110.08 kBTU
2018-08-01T07,99.968 kBTU
2018-08-01T08,50.048 kBTU
2018-08-01T08,80.0 kBTU
2018-08-01T08,129.92 kBTU
2018-08-01T08,120.064 kBTU
2018-08-01T09,129.92 kBTU
2018-08-01T09,90.112 kBTU
2018-08-01T09,59.904 kBTU
2018-08-01T09,120.064 kBTU
2018-08-01T10,129.92 kBTU
2018-08-01T10,130.048 kBTU
2018-08-01T10,130.048 kBTU
2018-08-01T10,139.904 kBTU
2018-08-01T11,130.048 kBTU
2018-08-01T11,140.032 kBTU
2018-08-01T11,140.032 kBTU
2018-08-01T11,119.936 kBTU
2018-08-01T12,70.016 kBTU
2018-08-01T12,80.0 kBTU
2018-08-01T12,199.936 kBTU
2018-08-01T13,70.016 kBTU
2018-08-01T13,60.032 kBTU
2018-08-01T13,60.032 kBTU
2018-08-01T13,70.016 kBTU
2018-08-01T14,70.016 kBTU
2018-08-01T14,69.888 kBTU
2018-08-01T14,70.016 kBTU
2018-08-01T14,70.016 kBTU
2018-08-01T15,70.016 kBTU
2018-08-01T15,70.016 kBTU
2018-08-01T15,60.032 kBTU
2018-08-01T15,70.016 kBTU
2018-08-01T16,69.888 kBTU
2018-08-01T16,70.016 kBTU
2018-08-01T16,70.016 kBTU
2018-08-01T16,70.016 kBTU
2018-08-01T17,80.0 kBTU
2018-08-01T17,70.016 kBTU
2018-08-01T17,70.016 kBTU
2018-08-01T17,70.016 kBTU
2018-08-01T18,70.016 kBTU
2018-08-01T18,69.888 kBTU
2018-08-01T18,70.016 kBTU
2018-08-01T18,70.016 kBTU
2018-08-01T19,70.016 kBTU
2018-08-01T19,70.016 kBTU
2018-08-01T19,70.016 kBTU
2018-08-01T19,60.032 kBTU
2018-08-01T20,69.888 kBTU
2018-08-01T20,60.032 kBTU
2018-08-01T20,70.016 kBTU
2018-08-01T20,70.016 kBTU
2018-08-01T21,60.032 kBTU
2018-08-01T21,69.888 kBTU
2018-08-01T21,70.016 kBTU
2018-08-01T21,60.032 kBTU
2018-08-01T22,60.032 kBTU
2018-08-01T22,70.016 kBTU
2018-08-01T22,59.904 kBTU
2018-08-01T22,60.032 kBTU
2018-08-01T23,40.064 kBTU
2018-08-01T23,89.984 kBTU
2018-08-01T23,129.92 kBTU
2018-08-01T23,120.064 kBTU
2018-08-02T00,80.0 kBTU
2018-08-02T00,19.968 kBTU
2018-08-02T00,70.016 kBTU
2018-08-02T00,169.984 kBTU
2018-08-02T01,120.064 kBTU
2018-08-02T01,70.016 kBTU
2018-08-02T01,70.016 kBTU
2018-08-02T01,59.904 kBTU
2018-08-02T02,60.032 kBTU
2018-08-02T02,70.016 kBTU
2018-08-02T02,29.952 kBTU
2018-08-02T02,80.0 kBTU
2018-08-02T03,140.032 kBTU
2018-08-02T03,119.936 kBTU
2018-08-02T03,130.048 kBTU
2018-08-02T03,130.048 kBTU
2018-08-02T04,119.936 kBTU
2018-08-02T04,120.064 kBTU
2018-08-02T04,109.952 kBTU
2018-08-02T04,40.064 kBTU
2018-08-02T05,109.952 kBTU
2018-08-02T05,120.064 kBTU
2018-08-02T05,119.936 kBTU
2018-08-02T05,109.952 kBTU
2018-08-02T06,110.08 kBTU
2018-08-02T06,89.984 kBTU
