ts,v0
2018-07-31T23,100.352 kBTU
2018-08-01T00,199.68 kBTU
2018-08-01T00,100.352 kBTU
2018-08-01T00,100.352 kBTU
2018-08-01T00,99.328 kBTU
2018-08-01T01,100.352 kBTU
2018-08-01T01,100.352 kBTU
2018-08-01T01,99.328 kBTU
2018-08-01T01,200.704 kBTU
2018-08-01T02,99.328 kBTU
2018-08-01T02,100.352 kBTU
2018-08-01T02,100.352 kBTU
2018-08-01T02,99.328 kBTU
2018-08-01T03,100.352 kBTU
2018-08-01T03,100.352 kBTU
2018-08-01T03,99.328 kBTU
2018-08-01T03,100.352 kBTU
2018-08-01T04,100.352 kBTU
2018-08-01T04,199.68 kBTU
2018-08-01T04,99.328 kBTU
2018-08-01T04,100.352 kBTU
2018-08-01T05,100.352 kBTU
2018-08-01T05,99.328 kBTU
2018-08-01T05,100.352 kBTU
2018-08-01T05,100.352 kBTU
2018-08-01T06,99.328 kBTU
2018-08-01T06,100.352 kBTU
2018-08-01T06,100.352 kBTU
2018-08-01T06,99.328 kBTU
2018-08-01T07,100.352 kBTU
2018-08-01T07,100.352 kBTU
2018-08-01T07,99.328 kBTU
2018-08-01T07,0.0 kBTU
2018-08-01T08,100.352 kBTU
2018-08-01T08,100.352 kBTU
2018-08-01T08,99.328 kBTU
2018-08-01T08,100.352 kBTU
2018-08-01T09,100.352 kBTU
2018-08-01T09,99.328 kBTU
2018-08-01T09,100.352 kBTU
2018-08-01T09,0.0 kBTU
2018-08-01T10,100.352 kBTU
2018-08-01T10,99.328 kBTU
2018-08-01T10,100.352 kBTU
2018-08-01T10,100.352 kBTU
2018-08-01T11,99.328 kBTU
2018-08-01T11,100.352 kBTU
2018-08-01T11,100.352 kBTU
2018-08-01T11,99.328 kBTU
2018-08-01T12,100.352 kBTU
2018-08-01T12,99.328 kBTU
2018-08-01T12,100.352 kBTU
2018-08-01T12,100.352 kBTU
2018-08-01T13,99.328 kBTU
2018-08-01T13,200.704 kBTU
2018-08-01T13,99.328 kBTU
2018-08-01T13,100.352 kBTU
2018-08-01T14,100.352 kBTU
2018-08-01T14,99.328 kBTU
2018-08-01T14,200.704 kBTU
2018-08-01T15,99.328 kBTU
2018-08-01T15,100.352 kBTU
2018-08-01T15,199.68 kBTU
2018-08-01T15,100.352 kBTU
2018-08-01T16,199.68 kBTU
2018-08-01T16,100.352 kBTU
2018-08-01T16,100.352 kBTU
2018-08-01T17,99.328 kBTU
2018-08-01T17,300.032 kBTU
2018-08-01T17,100.352 kBTU
2018-08-01T18,100.352 kBTU
2018-08-01T18,99.328 kBTU
2018-08-01T18,100.352 kBTU
2018-08-01T18,199.68 kBTU
2018-08-01T19,100.352 kBTU
2018-08-01T19,100.352 kBTU
2018-08-01T19,99.328 kBTU
2018-08-01T19,100.352 kBTU
2018-08-01T20,99.328 kBTU
2018-08-01T20,200.704 kBTU
2018-08-01T20,99.328 kBTU
2018-08-01T20,100.352 kBTU
2018-08-01T21,100.352 kBTU
2018-08-01T21,99.328 kBTU
2018-08-01T21,300.032 kBTU
2018-08-01T22,100.352 kBTU
2018-08-01T22,100.352 kBTU
2018-08-01T22,99.328 kBTU
2018-08-01T22,100.352 kBTU
2018-08-01T23,300.032 kBTU
2018-08-01T23,100.352 kBTU
2018-08-01T23,99.328 kBTU
2018-08-02T00,100.352 kBTU
2018-08-02T00,100.352 kBTU
2018-08-02T00,99.328 kBTU
2018-08-02T00,200.704 kBTU
2018-08-02T01,99.328 kBTU
2018-08-02T01,100.352 kBTU
2018-08-02T01,199.68 kBTU
2018-08-02T02,100.352 kBTU
2018-08-02T02,99.328 kBTU
2018-08-02T02,200.704 kBTU
2018-08-02T02,99.328 kBTU
2018-08-02T03,100.352 kBTU
2018-08-02T03,100.352 kBTU
2018-08-02T03,99.328 kBTU
2018-08-02T03,100.352 kBTU
2018-08-02T04,100.352 kBTU
2018-08-02T04,99.328 kBTU
2018-08-02T04,200.704 kBTU
2018-08-02T04,99.328 kBTU
2018-08-02T05,100.352 kBTU
2018-08-02T05,100.352 kBTU
2018-08-02T05,99.328 kBTU
2018-08-02T05,100.352 kBTU
2018-08-02T06,100.352 kBTU
2018-08-02T06,99.328 kBTU
2018-08-02T06,100.352 kBTU
2018-08-02T06,100.352 kBTU
2018-08-02T07,99.328 kBTU
2018-08-02T07,100.352 kBTU
2018-08-02T07,100.352 kBTU
2018-08-02T07,99.328 kBTU
2018-08-02T08,100.352 kBTU
2018-08-02T08,100.352 kBTU
2018-08-02T08,99.328 kBTU
2018-08-02T08,200.704 kBTU
2018-08-02T09,99.328 kBTU
2018-08-02T09,100.352 kBTU
2018-08-02T09,100.352 kBTU
2018-08-02T09,99.328 kBTU
2018-08-02T10,0.0 kBTU
2018-08-02T10,100.352 kBTU
2018-08-02T10,99.328 kBTU
2018-08-02T10,100.352 kBTU
2018-08-02T11,100.352 kBTU
2018-08-02T11,99.328 kBTU
2018-08-02T11,100.352 kBTU
2018-08-02T11,100.352 kBTU
2018-08-02T12,0.0 kBTU
2018-08-02T12,99.328 kBTU
2018-08-02T12,100.352 kBTU
2018-08-02T12,100.352 kBTU
2018-08-02T13,99.328 kBTU
2018-08-02T13,100.352 kBTU
2018-08-02T13,100.352 kBTU
2018-08-02T13,99.328 kBTU
2018-08-02T14,100.352 kBTU
2018-08-02T14,100.352 kBTU
2018-08-02T14,99.328 kBTU
2018-08-02T14,100.352 kBTU
2018-08-02T15,199.68 kBTU
2018-08-02T15,100.352 kBTU
2018-08-02T15,199.68 kBTU
2018-08-02T16,100.352 kBTU
2018-08-02T16,100.352 kBTU
2018-08-02T16,99.328 kBTU
2018-08-02T16,100.352 kBTU
2018-08-02T17,100.352 kBTU
2018-08-02T17,99.328 kBTU
2018-08-02T17,100.352 kBTU
2018-08-02T17,199.68 kBTU
2018-08-02T18,100.352 kBTU
2018-08-02T18,99.328 kBTU
2018-08-02T18,100.352 kBTU
2018-08-02T18,100.352 kBTU
2018-08-02T19,99.328 kBTU
2018-08-02T19,100.352 kBTU
2018-08-02T19,100.352 kBTU
2018-08-02T19,199.68 kBTU
2018-08-02T20,100.352 kBTU
2018-08-02T20,99.328 kBTU
2018-08-02T20,100.352 kBTU
2018-08-02T20,100.352 kBTU
2018-08-02T21,99.328 kBTU
2018-08-02T21,100.352 kBTU
2018-08-02T21,100.352 kBTU
2018-08-02T21,199.68 kBTU
2018-08-02T22,100.352 kBTU
2018-08-02T22,99.328 kBTU
2018-08-02T22,100.352 kBTU
2018-08-02T22,100.352 kBTU
2018-08-02T23,99.328 kBTU
2018-08-02T23,100.352 kBTU
2018-08-02T23,100.352 kBTU
2018-08-02T23,199.68 kBTU
2018-08-03T00,100.352 kBTU
2018-08-03T00,99.328 kBTU
2018-08-03T00,100.352 kBTU
2018-08-03T00,100.352 kBTU
2018-08-03T01,99.328 kBTU
2018-08-03T01,100.352 kBTU
2018-08-03T01,99.328 kBTU
2018-08-03T01,100.352 kBTU
2018-08-03T02,100.352 kBTU
2018-08-03T02,99.328 kBTU
2018-08-03T02,100.352 kBTU
2018-08-03T02,100.352 kBTU
2018-08-03T03,99.328 kBTU
2018-08-03T03,100.352 kBTU
2018-08-03T03,100.352 kBTU
2018-08-03T04,99.328 kBTU
2018-08-03T04,100.352 kBTU
2018-08-03T04,100.352 kBTU
2018-08-03T04,99.328 kBTU
2018-08-03T05,100.352 kBTU
2018-08-03T05,0.0 kBTU
2018-08-03T05,100.352 kBTU
2018-08-03T05,99.328 kBTU
2018-08-03T06,100.352 kBTU
2018-08-03T06,100.352 kBTU
2018-08-03T06,99.328 kBTU
2018-08-03T06,0.0 kBTU
2018-08-03T07,100.352 kBTU
2018-08-03T07,100.352 kBTU
2018-08-03T07,99.328 kBTU
2018-08-03T07,100.352 kBTU
2018-08-03T08,100.352 kBTU
2018-08-03T08,199.68 kBTU
2018-08-03T09,100.352 kBTU
2018-08-03T09,99.328 kBTU
2018-08-03T09,100.352 kBTU
