ts,v0
2018-08-09T11,499.712 kBTU
2018-08-09T11,499.712 kBTU
2018-08-09T11,600.064 kBTU
2018-08-09T11,499.712 kBTU
2018-08-09T12,499.712 kBTU
2018-08-09T12,600.064 kBTU
2018-08-09T12,600.064 kBTU
2018-08-09T12,499.712 kBTU
2018-08-09T13,600.064 kBTU
2018-08-09T13,600.064 kBTU
2018-08-09T13,600.064 kBTU
2018-08-09T13,700.416 kBTU
2018-08-09T14,600.064 kBTU
2018-08-09T14,600.064 kBTU
2018-08-09T14,700.416 kBTU
2018-08-09T14,600.064 kBTU
2018-08-09T15,698.368 kBTU
2018-08-09T15,600.064 kBTU
2018-08-09T15,700.416 kBTU
2018-08-09T15,700.416 kBTU
2018-08-09T16,600.064 kBTU
2018-08-09T16,700.416 kBTU
2018-08-09T16,698.368 kBTU
2018-08-09T16,700.416 kBTU
2018-08-09T17,600.064 kBTU
2018-08-09T17,700.416 kBTU
2018-08-09T17,700.416 kBTU
2018-08-09T17,700.416 kBTU
2018-08-09T18,698.368 kBTU
2018-08-09T18,600.064 kBTU
2018-08-09T18,700.416 kBTU
2018-08-09T18,700.416 kBTU
2018-08-09T19,700.416 kBTU
2018-08-09T19,700.416 kBTU
2018-08-09T19,600.064 kBTU
2018-08-09T19,698.368 kBTU
2018-08-09T20,600.064 kBTU
2018-08-09T20,700.416 kBTU
2018-08-09T20,600.064 kBTU
2018-08-09T20,600.064 kBTU
2018-08-09T21,700.416 kBTU
2018-08-09T21,600.064 kBTU
2018-08-09T21,600.064 kBTU
2018-08-09T21,499.712 kBTU
2018-08-09T22,600.064 kBTU
2018-08-09T22,600.064 kBTU
2018-08-09T22,600.064 kBTU
2018-08-09T22,499.712 kBTU
2018-08-09T23,600.064 kBTU
2018-08-09T23,499.712 kBTU
2018-08-09T23,600.064 kBTU
2018-08-09T23,499.712 kBTU
2018-08-10T00,499.712 kBTU
2018-08-10T00,600.064 kBTU
2018-08-10T00,499.712 kBTU
2018-08-10T00,501.76 kBTU
2018-08-10T01,499.712 kBTU
2018-08-10T01,600.064 kBTU
2018-08-10T01,499.712 kBTU
2018-08-10T01,499.712 kBTU
2018-08-10T02,499.712 kBTU
2018-08-10T02,499.712 kBTU
2018-08-10T02,499.712 kBTU
2018-08-10T02,501.76 kBTU
2018-08-10T03,499.712 kBTU
2018-08-10T03,499.712 kBTU
2018-08-10T03,600.064 kBTU
2018-08-10T03,499.712 kBTU
2018-08-10T04,499.712 kBTU
2018-08-10T04,499.712 kBTU
2018-08-10T04,499.712 kBTU
2018-08-10T04,600.064 kBTU
2018-08-10T05,499.712 kBTU
2018-08-10T05,501.76 kBTU
2018-08-10T05,499.712 kBTU
2018-08-10T05,499.712 kBTU
2018-08-10T06,600.064 kBTU
2018-08-10T06,499.712 kBTU
2018-08-10T06,499.712 kBTU
2018-08-10T06,499.712 kBTU
2018-08-10T07,600.064 kBTU
2018-08-10T07,499.712 kBTU
2018-08-10T07,501.76 kBTU
2018-08-10T07,499.712 kBTU
2018-08-10T08,499.712 kBTU
2018-08-10T08,499.712 kBTU
2018-08-10T08,499.712 kBTU
2018-08-10T08,499.712 kBTU
2018-08-10T09,499.712 kBTU
2018-08-10T09,499.712 kBTU
2018-08-10T09,501.76 kBTU
2018-08-10T09,499.712 kBTU
2018-08-10T10,499.712 kBTU
2018-08-10T10,499.712 kBTU
2018-08-10T10,600.064 kBTU
2018-08-10T10,499.712 kBTU
2018-08-10T11,600.064 kBTU
2018-08-10T11,600.064 kBTU
2018-08-10T11,600.064 kBTU
2018-08-10T11,499.712 kBTU
2018-08-10T12,600.064 kBTU
2018-08-10T12,700.416 kBTU
2018-08-10T12,600.064 kBTU
2018-08-10T12,700.416 kBTU
2018-08-10T13,600.064 kBTU
2018-08-10T13,700.416 kBTU
2018-08-10T13,698.368 kBTU
2018-08-10T13,700.416 kBTU
2018-08-10T14,700.416 kBTU
2018-08-10T14,700.416 kBTU
2018-08-10T14,698.368 kBTU
2018-08-10T14,700.416 kBTU
2018-08-10T15,800.768 kBTU
2018-08-10T15,700.416 kBTU
2018-08-10T15,798.72 kBTU
2018-08-10T15,800.768 kBTU
2018-08-10T16,700.416 kBTU
2018-08-10T16,798.72 kBTU
2018-08-10T16,800.768 kBTU
2018-08-10T16,800.768 kBTU
2018-08-10T17,798.72 kBTU
2018-08-10T17,800.768 kBTU
2018-08-10T17,700.416 kBTU
2018-08-10T17,798.72 kBTU
2018-08-10T18,800.768 kBTU
2018-08-10T18,800.768 kBTU
2018-08-10T18,798.72 kBTU
2018-08-10T18,800.768 kBTU
2018-08-10T19,700.416 kBTU
2018-08-10T19,798.72 kBTU
2018-08-10T19,700.416 kBTU
2018-08-10T19,800.768 kBTU
2018-08-10T20,698.368 kBTU
2018-08-10T20,700.416 kBTU
2018-08-10T20,700.416 kBTU
2018-08-10T20,700.416 kBTU
2018-08-10T21,700.416 kBTU
2018-08-10T21,600.064 kBTU
2018-08-10T21,698.368 kBTU
2018-08-10T21,600.064 kBTU
2018-08-10T22,700.416 kBTU
2018-08-10T22,600.064 kBTU
2018-08-10T22,600.064 kBTU
2018-08-10T22,600.064 kBTU
2018-08-10T23,600.064 kBTU
2018-08-10T23,600.064 kBTU
2018-08-10T23,600.064 kBTU
2018-08-10T23,600.064 kBTU
2018-08-11T00,600.064 kBTU
2018-08-11T00,600.064 kBTU
2018-08-11T00,499.712 kBTU
2018-08-11T00,600.064 kBTU
2018-08-11T01,499.712 kBTU
2018-08-11T01,600.064 kBTU
2018-08-11T01,600.064 kBTU
2018-08-11T01,499.712 kBTU
2018-08-11T02,600.064 kBTU
2018-08-11T02,499.712 kBTU
2018-08-11T02,600.064 kBTU
2018-08-11T02,499.712 kBTU
2018-08-11T03,501.76 kBTU
2018-08-11T03,499.712 kBTU
2018-08-11T03,600.064 kBTU
2018-08-11T03,499.712 kBTU
2018-08-11T04,499.712 kBTU
2018-08-11T04,600.064 kBTU
2018-08-11T04,499.712 kBTU
2018-08-11T04,499.712 kBTU
2018-08-11T05,499.712 kBTU
2018-08-11T05,499.712 kBTU
2018-08-11T05,501.76 kBTU
2018-08-11T05,499.712 kBTU
2018-08-11T06,499.712 kBTU
2018-08-11T06,499.712 kBTU
2018-08-11T06,399.36 kBTU
2018-08-11T06,501.76 kBTU
2018-08-11T07,499.712 kBTU
2018-08-11T07,499.712 kBTU
2018-08-11T07,399.36 kBTU
2018-08-11T07,499.712 kBTU
2018-08-11T08,499.712 kBTU
2018-08-11T08,401.408 kBTU
2018-08-11T08,499.712 kBTU
2018-08-11T08,499.712 kBTU
2018-08-11T09,499.712 kBTU
2018-08-11T09,499.712 kBTU
2018-08-11T09,499.712 kBTU
2018-08-11T09,600.064 kBTU
2018-08-11T10,501.76 kBTU
2018-08-11T10,598.016 kBTU
2018-08-11T10,501.76 kBTU
2018-08-11T10,600.064 kBTU
2018-08-11T11,600.064 kBTU
2018-08-11T11,499.712 kBTU
2018-08-11T11,600.064 kBTU
2018-08-11T11,698.368 kBTU
2018-08-11T12,600.064 kBTU
2018-08-11T12,600.064 kBTU
2018-08-11T12,600.064 kBTU
2018-08-11T12,700.416 kBTU
2018-08-11T13,600.064 kBTU
2018-08-11T13,700.416 kBTU
2018-08-11T13,700.416 kBTU
2018-08-11T13,700.416 kBTU
2018-08-11T14,698.368 kBTU
2018-08-11T14,700.416 kBTU
2018-08-11T14,700.416 kBTU
2018-08-11T14,700.416 kBTU
2018-08-11T15,700.416 kBTU
2018-08-11T15,698.368 kBTU
2018-08-11T15,800.768 kBTU
2018-08-11T15,700.416 kBTU
2018-08-11T16,700.416 kBTU
2018-08-11T16,798.72 kBTU
2018-08-11T16,800.768 kBTU
2018-08-11T16,700.416 kBTU
2018-08-11T17,798.72 kBTU
2018-08-11T17,700.416 kBTU
2018-08-11T17,800.768 kBTU
2018-08-11T17,698.368 kBTU
2018-08-11T18,800.768 kBTU
2018-08-11T18,700.416 kBTU
2018-08-11T18,700.416 kBTU
2018-08-11T18,698.368 kBTU
2018-08-11T19,800.768 kBTU
2018-08-11T19,700.416 kBTU
2018-08-11T19,700.416 kBTU
2018-08-11T19,698.368 kBTU
2018-08-11T20,700.416 kBTU
2018-08-11T20,600.064 kBTU
2018-08-11T20,700.416 kBTU
2018-08-11T20,700.416 kBTU
2018-08-11T21,600.064 kBTU
2018-08-11T21,600.064 kBTU
2018-08-11T21,700.416 kBTU
2018-08-11T21,600.064 kBTU
2018-08-11T22,598.016 kBTU
2018-08-11T22,600.064 kBTU
2018-08-11T22,600.064 kBTU
2018-08-11T22,600.064 kBTU
2018-08-11T23,600.064 kBTU
2018-08-11T23,600.064 kBTU
2018-08-11T23,600.064 kBTU
2018-08-11T23,600.064 kBTU
2018-08-12T00,600.064 kBTU
2018-08-12T00,600.064 kBTU
2018-08-12T00,600.064 kBTU
2018-08-12T00,600.064 kBTU
2018-08-12T01,600.064 kBTU
2018-08-12T01,600.064 kBTU
2018-08-12T01,600.064 kBTU
2018-08-12T01,600.064 kBTU
2018-08-12T02,499.712 kBTU
2018-08-12T02,600.064 kBTU
2018-08-12T02,600.064 kBTU
2018-08-12T02,499.712 kBTU
2018-08-12T03,600.064 kBTU
2018-08-12T03,499.712 kBTU
2018-08-12T03,499.712 kBTU
2018-08-12T03,600.064 kBTU
2018-08-12T04,501.76 kBTU
2018-08-12T04,499.712 kBTU
2018-08-12T04,499.712 kBTU
2018-08-12T04,600.064 kBTU
2018-08-12T05,499.712 kBTU
2018-08-12T05,499.712 kBTU
2018-08-12T05,499.712 kBTU
2018-08-12T05,499.712 kBTU
2018-08-12T06,501.76 kBTU
2018-08-12T06,399.36 kBTU
2018-08-12T06,499.712 kBTU
2018-08-12T06,499.712 kBTU
2018-08-12T07,499.712 kBTU
2018-08-12T07,401.408 kBTU
2018-08-12T07,499.712 kBTU
2018-08-12T07,399.36 kBTU
2018-08-12T08,499.712 kBTU
2018-08-12T08,499.712 kBTU
2018-08-12T08,499.712 kBTU
2018-08-12T08,501.76 kBTU
2018-08-12T09,499.712 kBTU
2018-08-12T09,499.712 kBTU
2018-08-12T09,499.712 kBTU
