ts,v0
2018-07-31T23,40305.9230398125 kBTU
2018-08-01T00,37320.2991109375 kBTU
2018-08-01T00,40945.699596 kBTU
2018-08-01T00,40732.4407439375 kBTU
2018-08-01T00,39879.4053356875 kBTU
2018-08-01T01,40519.181891875 kBTU
2018-08-01T01,39666.146483625 kBTU
2018-08-01T01,39879.4053356875 kBTU
2018-08-01T01,39666.146483625 kBTU
2018-08-01T02,40092.66418775 kBTU
2018-08-01T02,38173.3345191875 kBTU
2018-08-01T02,37320.2991109375 kBTU
2018-08-01T02,37107.040258875 kBTU
2018-08-01T03,37320.2991109375 kBTU
2018-08-01T03,37533.557963 kBTU
2018-08-01T03,37533.557963 kBTU
2018-08-01T03,37746.8168150625 kBTU
2018-08-01T04,37320.2991109375 kBTU
2018-08-01T04,37746.8168150625 kBTU
2018-08-01T04,37746.8168150625 kBTU
2018-08-01T04,37533.557963 kBTU
2018-08-01T05,36680.52255475 kBTU
2018-08-01T05,34974.451738250005 kBTU
2018-08-01T05,34547.934034125 kBTU
2018-08-01T05,34761.1928861875 kBTU
2018-08-01T06,35187.7105903125 kBTU
2018-08-01T06,35614.228294437504 kBTU
2018-08-01T06,34547.934034125 kBTU
2018-08-01T06,37320.2991109375 kBTU
2018-08-01T07,37107.040258875 kBTU
2018-08-01T07,38813.111075374996 kBTU
2018-08-01T07,32415.3455135 kBTU
2018-08-01T07,11302.7191593125 kBTU
2018-08-01T08,11515.978011375 kBTU
2018-08-01T08,11729.2368634375 kBTU
2018-08-01T08,11302.7191593125 kBTU
2018-08-01T08,11729.2368634375 kBTU
2018-08-01T09,11515.978011375 kBTU
2018-08-01T09,11729.2368634375 kBTU
2018-08-01T09,11729.2368634375 kBTU
2018-08-01T09,12155.7545675625 kBTU
2018-08-01T10,13008.789975812499 kBTU
2018-08-01T10,13008.789975812499 kBTU
2018-08-01T10,12582.272271687501 kBTU
2018-08-01T10,13008.789975812499 kBTU
2018-08-01T11,13648.566532 kBTU
2018-08-01T11,13435.3076799375 kBTU
2018-08-01T11,13222.048827875 kBTU
2018-08-01T11,13648.566532 kBTU
2018-08-01T12,15567.896200562502 kBTU
2018-08-01T12,15781.155052625 kBTU
2018-08-01T12,21325.88520625 kBTU
2018-08-01T12,51821.9010511875 kBTU
2018-08-01T13,49689.3125305625 kBTU
2018-08-01T13,52461.677607375 kBTU
2018-08-01T13,51821.9010511875 kBTU
2018-08-01T13,51395.383347062496 kBTU
2018-08-01T14,51821.9010511875 kBTU
2018-08-01T14,51395.383347062496 kBTU
2018-08-01T14,51608.642199125 kBTU
2018-08-01T14,52035.159903249994 kBTU
2018-08-01T15,49049.535974375 kBTU
2018-08-01T15,50755.606790875 kBTU
2018-08-01T15,49902.571382625 kBTU
2018-08-01T15,50115.8302346875 kBTU
2018-08-01T16,50542.3479388125 kBTU
2018-08-01T16,50329.089086750006 kBTU
2018-08-01T16,50542.3479388125 kBTU
2018-08-01T16,49689.3125305625 kBTU
2018-08-01T17,47556.724009937505 kBTU
2018-08-01T17,47556.724009937505 kBTU
2018-08-01T17,45210.87663725 kBTU
2018-08-01T17,46063.9120455 kBTU
2018-08-01T18,46277.1708975625 kBTU
2018-08-01T18,44571.100081062505 kBTU
2018-08-01T18,44784.358933125 kBTU
2018-08-01T18,46490.429749625 kBTU
2018-08-01T19,43931.323524875 kBTU
2018-08-01T19,44997.6177851875 kBTU
2018-08-01T19,44997.6177851875 kBTU
2018-08-01T19,44144.5823769375 kBTU
2018-08-01T20,46063.9120455 kBTU
2018-08-01T20,41585.476152187504 kBTU
2018-08-01T20,41372.217300125005 kBTU
2018-08-01T20,40945.699596 kBTU
2018-08-01T21,40945.699596 kBTU
2018-08-01T21,40945.699596 kBTU
2018-08-01T21,41798.73500425 kBTU
2018-08-01T21,40945.699596 kBTU
2018-08-01T22,40945.699596 kBTU
2018-08-01T22,40519.181891875 kBTU
2018-08-01T22,40305.9230398125 kBTU
2018-08-01T22,40305.9230398125 kBTU
2018-08-01T23,39879.4053356875 kBTU
2018-08-01T23,39666.146483625 kBTU
2018-08-01T23,39452.8876315625 kBTU
2018-08-01T23,39879.4053356875 kBTU
2018-08-02T00,36893.7814068125 kBTU
2018-08-02T00,39452.8876315625 kBTU
2018-08-02T00,39666.146483625 kBTU
2018-08-02T00,38173.3345191875 kBTU
2018-08-02T01,38386.59337125 kBTU
2018-08-02T01,37746.8168150625 kBTU
2018-08-02T01,38173.3345191875 kBTU
2018-08-02T01,37107.040258875 kBTU
2018-08-02T02,36680.52255475 kBTU
2018-08-02T02,36680.52255475 kBTU
2018-08-02T02,36680.52255475 kBTU
2018-08-02T02,37107.040258875 kBTU
2018-08-02T03,36040.7459985625 kBTU
2018-08-02T03,34334.6751820625 kBTU
2018-08-02T03,34334.6751820625 kBTU
2018-08-02T03,34121.41633 kBTU
2018-08-02T04,34334.6751820625 kBTU
2018-08-02T04,34334.6751820625 kBTU
2018-08-02T04,34761.1928861875 kBTU
2018-08-02T04,34121.41633 kBTU
2018-08-02T05,34547.934034125 kBTU
2018-08-02T05,33908.1574779375 kBTU
2018-08-02T05,34121.41633 kBTU
2018-08-02T05,33908.1574779375 kBTU
2018-08-02T06,34334.6751820625 kBTU
2018-08-02T06,34121.41633 kBTU
2018-08-02T06,35614.228294437504 kBTU
2018-08-02T06,36040.7459985625 kBTU
2018-08-02T07,37107.040258875 kBTU
2018-08-02T07,36893.7814068125 kBTU
2018-08-02T07,34547.934034125 kBTU
2018-08-02T07,10023.1660469375 kBTU
2018-08-02T08,9809.907194875 kBTU
2018-08-02T08,10449.6837510625 kBTU
2018-08-02T08,10023.1660469375 kBTU
2018-08-02T08,10662.942603125 kBTU
2018-08-02T09,11302.7191593125 kBTU
2018-08-02T09,10876.2014551875 kBTU
2018-08-02T09,11302.7191593125 kBTU
2018-08-02T09,14501.601940249999 kBTU
2018-08-02T10,13861.8253840625 kBTU
2018-08-02T10,13861.8253840625 kBTU
2018-08-02T10,14501.601940249999 kBTU
2018-08-02T10,15141.3784964375 kBTU
2018-08-02T11,14928.119644375 kBTU
2018-08-02T11,16207.67275675 kBTU
2018-08-02T11,16847.4493129375 kBTU
2018-08-02T11,16847.4493129375 kBTU
