ts,v0
2018-07-31T23,8423.72465646875 kBTU
2018-08-01T00,8423.72465646875 kBTU
2018-08-01T00,8636.98350853125 kBTU
2018-08-01T00,8103.836378375 kBTU
2018-08-01T00,8530.3540825 kBTU
2018-08-01T01,9276.76006471875 kBTU
2018-08-01T01,8210.465804406249 kBTU
2018-08-01T01,8317.0952304375 kBTU
2018-08-01T01,8636.98350853125 kBTU
2018-08-01T02,7890.5775263125 kBTU
2018-08-01T02,8210.465804406249 kBTU
2018-08-01T02,8317.0952304375 kBTU
2018-08-01T02,8530.3540825 kBTU
2018-08-01T03,7677.31867425 kBTU
2018-08-01T03,8210.465804406249 kBTU
2018-08-01T03,8103.836378375 kBTU
2018-08-01T03,7890.5775263125 kBTU
2018-08-01T04,7997.20695234375 kBTU
2018-08-01T04,8530.3540825 kBTU
2018-08-01T04,7997.20695234375 kBTU
2018-08-01T04,7890.5775263125 kBTU
2018-08-01T05,7890.5775263125 kBTU
2018-08-01T05,7890.5775263125 kBTU
2018-08-01T05,7464.0598221875 kBTU
2018-08-01T05,7570.68924821875 kBTU
2018-08-01T06,7250.800970124999 kBTU
2018-08-01T06,9276.76006471875 kBTU
2018-08-01T06,9170.1306386875 kBTU
2018-08-01T06,9703.277768843749 kBTU
2018-08-01T07,11089.460307250001 kBTU
2018-08-01T07,15674.52562659375 kBTU
2018-08-01T07,16527.56103484375 kBTU
2018-08-01T07,17380.59644309375 kBTU
2018-08-01T08,15994.4139046875 kBTU
2018-08-01T08,16314.302182781252 kBTU
2018-08-01T08,17060.708165 kBTU
2018-08-01T08,17593.85529515625 kBTU
2018-08-01T09,17273.9670170625 kBTU
2018-08-01T09,19726.44381578125 kBTU
2018-08-01T09,20046.332093875 kBTU
2018-08-01T09,19833.0732418125 kBTU
2018-08-01T10,21219.255780218748 kBTU
2018-08-01T10,20472.849798 kBTU
2018-08-01T10,20366.22037196875 kBTU
2018-08-01T10,19619.81438975 kBTU
2018-08-01T11,18340.261277375 kBTU
2018-08-01T11,18660.14955546875 kBTU
2018-08-01T11,18340.261277375 kBTU
2018-08-01T11,18660.14955546875 kBTU
2018-08-01T12,18127.0024253125 kBTU
2018-08-01T12,18660.14955546875 kBTU
2018-08-01T12,18127.0024253125 kBTU
2018-08-01T12,18233.63185134375 kBTU
2018-08-01T13,19193.296685625 kBTU
2018-08-01T13,19406.555537687498 kBTU
2018-08-01T13,19299.926111656252 kBTU
2018-08-01T13,19193.296685625 kBTU
2018-08-01T14,18020.37299928125 kBTU
2018-08-01T14,17807.114147218752 kBTU
2018-08-01T14,17700.4847211875 kBTU
2018-08-01T14,19193.296685625 kBTU
2018-08-01T15,18233.63185134375 kBTU
2018-08-01T15,18020.37299928125 kBTU
2018-08-01T15,16954.07873896875 kBTU
2018-08-01T15,17273.9670170625 kBTU
2018-08-01T16,16207.67275675 kBTU
2018-08-01T16,15674.52562659375 kBTU
2018-08-01T16,13328.678253906251 kBTU
2018-08-01T16,12688.90169771875 kBTU
2018-08-01T17,11835.866289468751 kBTU
2018-08-01T17,12475.64284565625 kBTU
2018-08-01T17,12155.7545675625 kBTU
2018-08-01T17,12155.7545675625 kBTU
2018-08-01T18,12582.272271687501 kBTU
2018-08-01T18,12155.7545675625 kBTU
2018-08-01T18,11942.4957155 kBTU
2018-08-01T18,11515.978011375 kBTU
2018-08-01T19,11729.2368634375 kBTU
2018-08-01T19,11942.4957155 kBTU
2018-08-01T19,11622.60743740625 kBTU
2018-08-01T19,11196.08973328125 kBTU
2018-08-01T20,11302.7191593125 kBTU
2018-08-01T20,11942.4957155 kBTU
2018-08-01T20,11089.460307250001 kBTU
2018-08-01T20,11089.460307250001 kBTU
2018-08-01T21,11196.08973328125 kBTU
2018-08-01T21,11515.978011375 kBTU
2018-08-01T21,11196.08973328125 kBTU
2018-08-01T21,11302.7191593125 kBTU
2018-08-01T22,10982.83088121875 kBTU
2018-08-01T22,10876.2014551875 kBTU
2018-08-01T22,9809.907194875 kBTU
2018-08-01T22,10449.6837510625 kBTU
2018-08-01T23,10343.054325031251 kBTU
2018-08-01T23,9916.53662090625 kBTU
2018-08-01T23,10023.1660469375 kBTU
2018-08-01T23,10236.424899 kBTU
2018-08-02T00,10343.054325031251 kBTU
2018-08-02T00,9916.53662090625 kBTU
2018-08-02T00,9916.53662090625 kBTU
2018-08-02T00,10556.31317709375 kBTU
2018-08-02T01,10662.942603125 kBTU
2018-08-02T01,10662.942603125 kBTU
2018-08-02T01,10982.83088121875 kBTU
2018-08-02T01,11089.460307250001 kBTU
2018-08-02T02,10343.054325031251 kBTU
2018-08-02T02,9916.53662090625 kBTU
2018-08-02T02,10129.79547296875 kBTU
2018-08-02T02,10023.1660469375 kBTU
2018-08-02T03,9490.018916781251 kBTU
2018-08-02T03,9809.907194875 kBTU
2018-08-02T03,9809.907194875 kBTU
2018-08-02T03,9490.018916781251 kBTU
2018-08-02T04,9170.1306386875 kBTU
2018-08-02T04,10129.79547296875 kBTU
2018-08-02T04,9809.907194875 kBTU
2018-08-02T04,9596.6483428125 kBTU
2018-08-02T05,9596.6483428125 kBTU
2018-08-02T05,9490.018916781251 kBTU
2018-08-02T05,9703.277768843749 kBTU
2018-08-02T05,9383.38949075 kBTU
2018-08-02T06,10236.424899 kBTU
2018-08-02T06,15674.52562659375 kBTU
2018-08-02T06,17487.225869125003 kBTU
2018-08-02T06,16207.67275675 kBTU
2018-08-02T07,16740.81988690625 kBTU
2018-08-02T07,16101.043330718749 kBTU
2018-08-02T07,15994.4139046875 kBTU
2018-08-02T07,16420.931608812498 kBTU
2018-08-02T08,16314.302182781252 kBTU
2018-08-02T08,15781.155052625 kBTU
2018-08-02T08,15034.74907040625 kBTU
2018-08-02T08,15354.6373485 kBTU
2018-08-02T09,16101.043330718749 kBTU
2018-08-02T09,15994.4139046875 kBTU
2018-08-02T09,16420.931608812498 kBTU
2018-08-02T09,15887.784478656251 kBTU
2018-08-02T10,15781.155052625 kBTU
2018-08-02T10,15567.896200562502 kBTU
2018-08-02T10,15781.155052625 kBTU
2018-08-02T10,16207.67275675 kBTU
2018-08-02T11,16634.190460875 kBTU
2018-08-02T11,15994.4139046875 kBTU
2018-08-02T11,15567.896200562502 kBTU
2018-08-02T11,15887.784478656251 kBTU
2018-08-02T12,15567.896200562502 kBTU
2018-08-02T12,15567.896200562502 kBTU
2018-08-02T12,16101.043330718749 kBTU
2018-08-02T12,18020.37299928125 kBTU
2018-08-02T13,19513.18496371875 kBTU
2018-08-02T13,17700.4847211875 kBTU
2018-08-02T13,17380.59644309375 kBTU
2018-08-02T13,17593.85529515625 kBTU
2018-08-02T14,17700.4847211875 kBTU
2018-08-02T14,17380.59644309375 kBTU
2018-08-02T14,17167.33759103125 kBTU
2018-08-02T14,15887.784478656251 kBTU
2018-08-02T15,15994.4139046875 kBTU
2018-08-02T15,16101.043330718749 kBTU
2018-08-02T15,15887.784478656251 kBTU
2018-08-02T15,10129.79547296875 kBTU
2018-08-02T16,9383.38949075 kBTU
2018-08-02T16,9383.38949075 kBTU
2018-08-02T16,8317.0952304375 kBTU
2018-08-02T16,7464.0598221875 kBTU
2018-08-02T17,7570.68924821875 kBTU
2018-08-02T17,7144.1715440937505 kBTU
2018-08-02T17,7783.948100281251 kBTU
2018-08-02T17,9276.76006471875 kBTU
2018-08-02T18,9916.53662090625 kBTU
2018-08-02T18,9703.277768843749 kBTU
2018-08-02T18,9596.6483428125 kBTU
2018-08-02T18,9276.76006471875 kBTU
2018-08-02T19,9596.6483428125 kBTU
2018-08-02T19,9383.38949075 kBTU
2018-08-02T19,9703.277768843749 kBTU
2018-08-02T19,9063.50121265625 kBTU
2018-08-02T20,8317.0952304375 kBTU
2018-08-02T20,7144.1715440937505 kBTU
2018-08-02T20,7677.31867425 kBTU
2018-08-02T20,6611.0244139375 kBTU
2018-08-02T21,6717.65383996875 kBTU
2018-08-02T21,6930.91269203125 kBTU
2018-08-02T21,6717.65383996875 kBTU
2018-08-02T21,6397.7655618750005 kBTU
2018-08-02T22,6930.91269203125 kBTU
2018-08-02T22,7144.1715440937505 kBTU
2018-08-02T22,6077.87728378125 kBTU
2018-08-02T22,6504.394987906249 kBTU
2018-08-02T23,6291.136135843751 kBTU
2018-08-02T23,6611.0244139375 kBTU
2018-08-02T23,6077.87728378125 kBTU
2018-08-02T23,6504.394987906249 kBTU
2018-08-03T00,6397.7655618750005 kBTU
2018-08-03T00,6717.65383996875 kBTU
2018-08-03T00,5651.35957965625 kBTU
2018-08-03T00,6930.91269203125 kBTU
2018-08-03T01,7250.800970124999 kBTU
2018-08-03T01,6397.7655618750005 kBTU
2018-08-03T01,5864.61843171875 kBTU
2018-08-03T01,6717.65383996875 kBTU
2018-08-03T02,6717.65383996875 kBTU
2018-08-03T02,6077.87728378125 kBTU
2018-08-03T02,6291.136135843751 kBTU
2018-08-03T02,6397.7655618750005 kBTU
2018-08-03T03,6397.7655618750005 kBTU
2018-08-03T03,6077.87728378125 kBTU
2018-08-03T03,6717.65383996875 kBTU
2018-08-03T03,6184.5067098125 kBTU
2018-08-03T04,6717.65383996875 kBTU
2018-08-03T04,5651.35957965625 kBTU
2018-08-03T04,6504.394987906249 kBTU
2018-08-03T04,6611.0244139375 kBTU
2018-08-03T05,7570.68924821875 kBTU
2018-08-03T05,6611.0244139375 kBTU
2018-08-03T05,8743.612934562501 kBTU
2018-08-03T05,8743.612934562501 kBTU
2018-08-03T06,8636.98350853125 kBTU
2018-08-03T06,10129.79547296875 kBTU
2018-08-03T06,15141.3784964375 kBTU
2018-08-03T06,15034.74907040625 kBTU
2018-08-03T07,15248.007922468749 kBTU
2018-08-03T07,15461.26677453125 kBTU
2018-08-03T07,14288.343088187501 kBTU
2018-08-03T07,15567.896200562502 kBTU
2018-08-03T08,15674.52562659375 kBTU
2018-08-03T08,15034.74907040625 kBTU
2018-08-03T08,17273.9670170625 kBTU
2018-08-03T08,18446.89070340625 kBTU
2018-08-03T09,18446.89070340625 kBTU
2018-08-03T09,14821.490218343752 kBTU
2018-08-03T09,15141.3784964375 kBTU
2018-08-03T09,14394.97251421875 kBTU
2018-08-03T10,14821.490218343752 kBTU
2018-08-03T10,15674.52562659375 kBTU
2018-08-03T10,15567.896200562502 kBTU
2018-08-03T10,15034.74907040625 kBTU
2018-08-03T11,14608.23136628125 kBTU
2018-08-03T11,15674.52562659375 kBTU
2018-08-03T11,16207.67275675 kBTU
2018-08-03T11,15141.3784964375 kBTU
2018-08-03T12,15461.26677453125 kBTU
2018-08-03T12,15887.784478656251 kBTU
2018-08-03T12,15994.4139046875 kBTU
2018-08-03T12,16527.56103484375 kBTU
2018-08-03T13,15674.52562659375 kBTU
2018-08-03T13,16847.4493129375 kBTU
2018-08-03T13,17273.9670170625 kBTU
2018-08-03T13,16527.56103484375 kBTU
2018-08-03T14,16740.81988690625 kBTU
2018-08-03T14,17380.59644309375 kBTU
2018-08-03T14,16954.07873896875 kBTU
2018-08-03T14,15567.896200562502 kBTU
2018-08-03T15,16314.302182781252 kBTU
2018-08-03T15,16420.931608812498 kBTU
2018-08-03T15,16101.043330718749 kBTU
2018-08-03T15,14501.601940249999 kBTU
2018-08-03T16,10556.31317709375 kBTU
2018-08-03T16,10343.054325031251 kBTU
2018-08-03T16,9703.277768843749 kBTU
2018-08-03T16,8956.871786624999 kBTU
2018-08-03T17,9276.76006471875 kBTU
2018-08-03T17,9916.53662090625 kBTU
2018-08-03T17,9490.018916781251 kBTU
2018-08-03T17,9276.76006471875 kBTU
2018-08-03T18,9063.50121265625 kBTU
2018-08-03T18,9916.53662090625 kBTU
2018-08-03T18,9276.76006471875 kBTU
2018-08-03T18,9063.50121265625 kBTU
2018-08-03T19,9490.018916781251 kBTU
2018-08-03T19,9809.907194875 kBTU
2018-08-03T19,8743.612934562501 kBTU
2018-08-03T19,9276.76006471875 kBTU
