ts,v0
2018-07-31T23,15354.6373485 kBTU
2018-08-01T00,17913.743573249998 kBTU
2018-08-01T00,17060.708165 kBTU
2018-08-01T00,17913.743573249998 kBTU
2018-08-01T00,17060.708165 kBTU
2018-08-01T01,15354.6373485 kBTU
2018-08-01T01,17060.708165 kBTU
2018-08-01T01,18766.7789815 kBTU
2018-08-01T01,17913.743573249998 kBTU
2018-08-01T02,17060.708165 kBTU
2018-08-01T02,14501.601940249999 kBTU
2018-08-01T02,17060.708165 kBTU
2018-08-01T02,17913.743573249998 kBTU
2018-08-01T03,17913.743573249998 kBTU
2018-08-01T03,17913.743573249998 kBTU
2018-08-01T03,15354.6373485 kBTU
2018-08-01T03,16207.67275675 kBTU
2018-08-01T04,18766.7789815 kBTU
2018-08-01T04,19619.81438975 kBTU
2018-08-01T04,18766.7789815 kBTU
2018-08-01T04,20472.849798 kBTU
2018-08-01T05,17060.708165 kBTU
2018-08-01T05,21325.88520625 kBTU
2018-08-01T05,20472.849798 kBTU
2018-08-01T05,18766.7789815 kBTU
2018-08-01T06,20472.849798 kBTU
2018-08-01T06,17913.743573249998 kBTU
2018-08-01T06,17060.708165 kBTU
2018-08-01T06,19619.81438975 kBTU
2018-08-01T07,21325.88520625 kBTU
2018-08-01T07,22178.920614500003 kBTU
2018-08-01T07,20472.849798 kBTU
2018-08-01T07,22178.920614500003 kBTU
2018-08-01T08,24738.02683925 kBTU
2018-08-01T08,25591.062247500002 kBTU
2018-08-01T08,25591.062247500002 kBTU
2018-08-01T08,25591.062247500002 kBTU
2018-08-01T09,28150.168472250003 kBTU
2018-08-01T09,27297.133064 kBTU
2018-08-01T09,28150.168472250003 kBTU
2018-08-01T09,23884.991431 kBTU
2018-08-01T10,25591.062247500002 kBTU
2018-08-01T10,25591.062247500002 kBTU
2018-08-01T10,26444.09765575 kBTU
2018-08-01T10,25591.062247500002 kBTU
2018-08-01T11,25591.062247500002 kBTU
2018-08-01T11,27297.133064 kBTU
2018-08-01T11,26444.09765575 kBTU
2018-08-01T11,28150.168472250003 kBTU
2018-08-01T12,27297.133064 kBTU
2018-08-01T12,27297.133064 kBTU
2018-08-01T12,26444.09765575 kBTU
2018-08-01T12,26444.09765575 kBTU
2018-08-01T13,26444.09765575 kBTU
2018-08-01T13,30709.274697 kBTU
2018-08-01T13,29856.23928875 kBTU
2018-08-01T13,29003.203880499997 kBTU
2018-08-01T14,26444.09765575 kBTU
2018-08-01T14,27297.133064 kBTU
2018-08-01T14,26444.09765575 kBTU
2018-08-01T14,26444.09765575 kBTU
2018-08-01T15,27297.133064 kBTU
2018-08-01T15,27297.133064 kBTU
2018-08-01T15,26444.09765575 kBTU
2018-08-01T15,26444.09765575 kBTU
2018-08-01T16,23884.991431 kBTU
2018-08-01T16,23884.991431 kBTU
2018-08-01T16,23884.991431 kBTU
2018-08-01T16,23884.991431 kBTU
2018-08-01T17,23031.95602275 kBTU
2018-08-01T17,23031.95602275 kBTU
2018-08-01T17,21325.88520625 kBTU
2018-08-01T17,21325.88520625 kBTU
2018-08-01T18,21325.88520625 kBTU
2018-08-01T18,22178.920614500003 kBTU
2018-08-01T18,22178.920614500003 kBTU
2018-08-01T18,22178.920614500003 kBTU
2018-08-01T19,20472.849798 kBTU
2018-08-01T19,17913.743573249998 kBTU
2018-08-01T19,19619.81438975 kBTU
2018-08-01T19,21325.88520625 kBTU
2018-08-01T20,21325.88520625 kBTU
2018-08-01T20,20472.849798 kBTU
2018-08-01T20,18766.7789815 kBTU
2018-08-01T20,18766.7789815 kBTU
2018-08-01T21,19619.81438975 kBTU
